n_items,n_participants,category_system,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,3-category,152.2097889661789,0.966,0.965,0.9370704839433678,0.9835070565423832
50,100,3-category,321.04831700325013,0.961,0.906,0.9748075619103452,0.985929769443218
600,100,3-category,728.2412852048874,0.956,0.95191,0.9846701197125426,0.9239379321816084
300,100,3-category,695.7415709257126,0.94,0.95289,0.9848635433898936,0.9604309455882356
20,100,5-category A,160.71980595588684,0.959,1,0.9413109565304808,0.989337951078664
50,100,5-category A,328.02514708042145,0.958,0.936,0.9737303457410036,0.985309724940202
600,100,5-category A,727.5547191858292,0.94,0.94969,0.9857165471940892,0.9303487355687508
300,100,5-category A,687.2764751434327,0.949,0.951,0.9840357236785996,0.9608731927970304
20,100,5-category B,186.38933322429656,0.956,1,0.9460790432715652,0.9900310231257828
50,100,5-category B,347.50432965755465,0.962,0.926,0.9760737726945904,0.9866204260916626
600,100,5-category B,767.9645997524261,0.955,0.94653,0.9863129759265804,0.9311367377956332
300,100,5-category B,723.4897312641144,0.945,0.94141,0.9876797052790576,0.9647146804931854
