n_items,rep,time,theta_coverage,beta_coverage,n_participants,simulation,model,theta_correlation,beta_correlation,condition
20,1,223.73396492004397,1,1,100,No theta,Theta,NA,0.988976744159606,No theta sim
20,2,170.53311896324158,1,1,100,No theta,Theta,NA,0.991657164034163,No theta sim
20,3,236.54173803329468,1,1,100,No theta,Theta,NA,0.9893558454864804,No theta sim
20,4,191.79678010940552,1,1,100,No theta,Theta,NA,0.9881813424291505,No theta sim
20,5,235.7976999282837,1,1,100,No theta,Theta,NA,0.981322952261537,No theta sim
20,6,255.22756600379944,1,1,100,No theta,Theta,NA,0.9504784121751888,No theta sim
20,7,172.36201405525208,1,1,100,No theta,Theta,NA,0.991677349698554,No theta sim
20,8,178.43776297569275,1,0.65,100,No theta,Theta,NA,0.9760584104025536,No theta sim
20,9,214.7768909931183,1,1,100,No theta,Theta,NA,0.9782233823740848,No theta sim
20,10,171.4790439605713,1,1,100,No theta,Theta,NA,0.9887686582571746,No theta sim
50,1,484.4915709495544,1,1,100,No theta,Theta,NA,0.9889609721860748,No theta sim
50,2,404.5668058395386,1,0.98,100,No theta,Theta,NA,0.9788416299301776,No theta sim
50,3,394.9093868732453,1,1,100,No theta,Theta,NA,0.98909267589608,No theta sim
50,4,420.3438079357147,1,0.98,100,No theta,Theta,NA,0.9812886961533848,No theta sim
50,5,412.0106678009033,1,1,100,No theta,Theta,NA,0.9829722815776232,No theta sim
50,6,453.6575708389282,1,1,100,No theta,Theta,NA,0.9804124198318678,No theta sim
50,7,421.40148305892944,1,1,100,No theta,Theta,NA,0.976617555550147,No theta sim
50,8,401.5417699813843,1,1,100,No theta,Theta,NA,0.9878939864545688,No theta sim
50,9,396.9548201560974,1,0.98,100,No theta,Theta,NA,0.9879545038294836,No theta sim
50,10,379.1124618053436,1,0.9,100,No theta,Theta,NA,0.9758987217335224,No theta sim
600,1,689.1412889957428,1,0.9546,100,No theta,Theta,NA,0.923338392127834,No theta sim
600,2,734.3340580463409,1,0.9286,100,No theta,Theta,NA,0.9063791975265104,No theta sim
600,3,723.70627617836,1,0.9482,100,No theta,Theta,NA,0.9238007738509662,No theta sim
600,4,672.8534750938416,1,0.964,100,No theta,Theta,NA,0.9212267868954526,No theta sim
600,5,673.0215110778809,1,0.9437,100,No theta,Theta,NA,0.9144621485414968,No theta sim
600,6,655.5252270698547,1,0.9639,100,No theta,Theta,NA,0.9308623788211332,No theta sim
600,7,672.126993894577,1,0.9663,100,No theta,Theta,NA,0.9318155077407768,No theta sim
600,8,616.6814961433411,1,0.9214,100,No theta,Theta,NA,0.9209301032425692,No theta sim
600,9,635.3896210193634,1,0.9523,100,No theta,Theta,NA,0.9091129074336344,No theta sim
600,10,729.3279790878296,1,0.9649,100,No theta,Theta,NA,0.9319632793355476,No theta sim
300,1,792.8281080722809,1,0.9714,100,No theta,Theta,NA,0.957647374276282,No theta sim
300,2,789.9871399402618,1,0.9462,100,No theta,Theta,NA,0.9485815264425458,No theta sim
300,3,795.6330089569092,1,0.9504,100,No theta,Theta,NA,0.9542511525891652,No theta sim
300,4,790.0287251472473,1,0.9602,100,No theta,Theta,NA,0.9526703101334774,No theta sim
300,5,769.5847210884094,1,0.9388,100,No theta,Theta,NA,0.9484626605452976,No theta sim
300,6,755.9721570014954,1,0.9715,100,No theta,Theta,NA,0.96323594116682,No theta sim
