n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,category_system
20,1,140.37924194335938,0.95,1,0.9149864421313444,0.977215000482122,100,3-category
20,2,152.3911099433899,0.96,0.85,0.927417255158645,0.9812848805455529,100,3-category
20,3,144.89033794403076,0.98,0.95,0.9455902444586152,0.9795016665424808,100,3-category
20,4,180.8243899345398,0.99,1,0.933698046741205,0.9915969580378482,100,3-category
20,5,145.31910705566406,0.97,1,0.9413830818726387,0.9903610859672152,100,3-category
20,6,141.69161891937256,0.94,1,0.94523332574137,0.9826432650855492,100,3-category
20,7,148.74026203155518,0.94,1,0.9340675761309372,0.9921645288477786,100,3-category
20,8,170.6791169643402,0.96,0.95,0.9202842046458166,0.9605765331200568,100,3-category
20,9,148.59210300445557,0.99,0.9,0.9500641093876956,0.9901107865496916,100,3-category
20,10,148.59060192108154,0.98,1,0.95798055316541,0.9896158602455376,100,3-category
50,1,333.6135799884796,0.95,1,0.968841515272478,0.9935693415022592,100,3-category
50,2,314.9801948070526,0.98,0.88,0.9763033183724056,0.9847994370155032,100,3-category
50,3,320.8320379257202,0.97,0.98,0.9800153888864196,0.986208976091668,100,3-category
50,4,338.14680910110474,0.96,0.76,0.9732461664447852,0.9889421971288258,100,3-category
50,5,320.54834604263306,0.94,0.96,0.971045270384076,0.9815978357703364,100,3-category
50,6,325.925665140152,0.96,1,0.9811623067565988,0.9881094796916812,100,3-category
50,7,319.1163799762726,0.97,1,0.9742598654909076,0.9879283978907372,100,3-category
50,8,317.71082305908203,0.98,0.88,0.9696800624610556,0.985590782328358,100,3-category
50,9,310.71551299095154,0.94,0.62,0.9802121448059772,0.9790113393592624,100,3-category
50,10,308.89382100105286,0.96,0.98,0.9733095802287484,0.9835399076535472,100,3-category
600,1,689.2162590026855,0.97,0.9564,0.983066599040627,0.9134566234461212,100,3-category
600,2,689.4847860336304,0.85,0.9551,0.9835723904190962,0.9154302637149866,100,3-category
600,3,759.5185151100159,0.98,0.9517,0.9802715719761976,0.919239210601391,100,3-category
600,4,737.2841670513153,0.97,0.9648,0.9822334018444492,0.932419920742974,100,3-category
600,5,764.388002872467,1,0.9571,0.9927562284392234,0.9248365799826704,100,3-category
600,6,729.0906360149384,0.96,0.9375,0.985184546581285,0.9226138043816252,100,3-category
600,7,717.4357740879059,0.97,0.9532,0.9797340386749444,0.9255228355793772,100,3-category
600,8,760.9026539325714,0.99,0.9506,0.9881784148090176,0.9351081112537438,100,3-category
600,9,716.9223189353943,0.9,0.9397,0.9862887969677144,0.9294903470870112,100,3-category
600,10,718.1697390079498,0.97,0.953,0.9854152083728716,0.9212616250261844,100,3-category
300,1,694.2791991233826,0.98,0.955,0.9824229275694706,0.9576080171157032,100,3-category
300,2,670.33788895607,0.95,0.9645,0.9829820604110964,0.9606651551730646,100,3-category
300,3,683.9930331707001,0.97,0.938,0.9887344869180124,0.960157303715856,100,3-category
300,4,681.0028741359711,0.95,0.9512,0.9869231118357368,0.9617742802628088,100,3-category
300,5,842.1644480228424,0.76,0.9339,0.9884323821550028,0.9648590054632152,100,3-category
300,6,675.4464590549469,0.96,0.9553,0.9869856883526514,0.9559984963529896,100,3-category
300,7,645.9886920452118,0.99,0.9726,0.9854701484141312,0.9662458915476264,100,3-category
300,8,713.9754757881165,0.98,0.9418,0.985960111821794,0.955562131978517,100,3-category
300,9,684.0018558502197,0.95,0.9549,0.9818048924799818,0.9615176554218235,100,3-category
300,10,666.2257831096649,0.91,0.9617,0.9789196239410572,0.9599215188507506,100,3-category
