n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,category_system
20,1,174.79933190345764,0.93,1,0.9580561602549456,0.9931271920945828,100,5-category B
20,2,193.27879309654236,0.94,1,0.9150026621434868,0.9896713816933776,100,5-category B
20,3,223.78259897232056,0.99,1,0.94348836821971,0.9868761579669422,100,5-category B
20,4,147.7591381072998,0.97,1,0.9447175343069398,0.9910675947160053,100,5-category B
20,5,167.3520212173462,0.98,1,0.9552407446705926,0.9886478818498868,100,5-category B
20,6,219.75136399269104,0.95,1,0.960617141400084,0.9953660725508786,100,5-category B
20,7,173.53313207626343,0.92,1,0.941399483058766,0.9916078396010324,100,5-category B
20,8,162.5736858844757,0.94,1,0.9310891768508056,0.9888301673773268,100,5-category B
20,9,204.36678504943848,0.95,1,0.9570086871337607,0.992606694991208,100,5-category B
20,10,196.6964819431305,0.99,1,0.9541704746765626,0.9825092484165878,100,5-category B
50,1,346.88062500953674,0.97,0.94,0.974830449773051,0.9846433221949276,100,5-category B
50,2,330.09551095962524,0.96,1,0.9785684107726332,0.9876964807218892,100,5-category B
50,3,341.47789311408997,0.94,0.94,0.9747126858750516,0.9880909236742814,100,5-category B
50,4,361.407103061676,0.97,0.98,0.9806065654346832,0.9853018214655168,100,5-category B
50,5,352.9007029533386,0.98,0.96,0.9757473907401404,0.987503707910203,100,5-category B
50,6,349.496071100235,0.97,0.64,0.9759022133594109,0.9852771330022184,100,5-category B
50,7,361.7766160964966,0.98,1,0.9739916172677656,0.9913703911600228,100,5-category B
50,8,334.4166340827942,0.97,0.98,0.9794067688822804,0.9858675997002174,100,5-category B
50,9,365.2739970684051,0.95,0.9,0.9742727219418048,0.993508798454792,100,5-category B
50,10,331.31814312934875,0.93,0.92,0.9726989028990826,0.9769440826325568,100,5-category B
600,1,781.7177000045776,0.97,0.9553,0.9874828240958304,0.9339994073719142,100,5-category B
600,2,803.7070219516754,1,0.9295,0.989769829825334,0.925217790336216,100,5-category B
600,3,761.806314945221,0.97,0.9303,0.984290298729021,0.9272931565078306,100,5-category B
600,4,798.4507238864899,0.98,0.9401,0.9865614372023216,0.9265056725428904,100,5-category B
600,5,745.7876348495483,0.89,0.9577,0.9854130696764845,0.9324366907332696,100,5-category B
600,6,736.9824559688568,0.95,0.9457,0.9830081394629568,0.922673624676022,100,5-category B
600,7,752.5359330177307,0.92,0.9446,0.982622840215317,0.9187732060483706,100,5-category B
600,8,736.8493759632111,0.94,0.9607,0.9915949325057568,0.9404329566948983,100,5-category B
600,9,778.53293800354,0.99,0.942,0.9848514058128378,0.9412515688691582,100,5-category B
600,10,783.2758989334106,0.94,0.9594,0.9875349817399428,0.942783304175761,100,5-category B
300,1,722.8716948032379,0.98,0.956,0.9877583887818296,0.968795102792104,100,5-category B
300,2,735.3504219055176,0.92,0.8904,0.9894309143754744,0.9609861235872084,100,5-category B
300,3,686.0308308601379,0.87,0.9637,0.982047529142601,0.9634002772380152,100,5-category B
300,4,704.9917950630188,0.91,0.9582,0.986313315351961,0.9592957680076362,100,5-category B
300,5,725.2304480075836,0.96,0.9063,0.9886822237282658,0.9613583061286568,100,5-category B
300,6,727.0878438949585,0.95,0.9325,0.9893581902821555,0.9699859112395702,100,5-category B
300,7,726.8427429199219,0.99,0.9407,0.9887140690082004,0.961313938280288,100,5-category B
300,8,758.6200911998749,0.95,0.9687,0.9864748895214454,0.9690903757948502,100,5-category B
300,9,721.8586740493774,0.95,0.9325,0.9889044513192486,0.9696656960645876,100,5-category B
300,10,726.0127699375153,0.97,0.9651,0.9891130812793948,0.9632553057989384,100,5-category B
