n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,simulation,model
20,1,135.89521098136902,0.95,0.65,0.9048766590744468,0.9715803116294488,100,Both skewed,Both normal
20,2,168.99750900268555,0.93,0.95,0.9424358885124146,0.975241950637568,100,Both skewed,Both normal
20,3,146.8844931125641,0.97,1,0.933038035334488,0.9801979074170242,100,Both skewed,Both normal
20,4,143.09598088264465,0.96,1,0.9449436423197424,0.9911841241830393,100,Both skewed,Both normal
20,5,166.73427605628967,0.94,1,0.9247937694405072,0.9904205382096746,100,Both skewed,Both normal
20,6,133.71104788780212,0.95,0.9,0.9260221345949368,0.9702347704604826,100,Both skewed,Both normal
20,7,190.33671593666077,0.97,1,0.9383532814282436,0.9914426771263992,100,Both skewed,Both normal
20,8,146.45911312103271,0.91,1,0.9219996178629526,0.9747762997831352,100,Both skewed,Both normal
20,9,130.4042239189148,0.93,0.9,0.9133448558449072,0.9831661013432592,100,Both skewed,Both normal
20,10,145.97381401062012,0.97,1,0.9207119943778695,0.9933841903905832,100,Both skewed,Both normal
50,1,304.2522370815277,1,0.98,0.9745905268756396,0.9852650493154086,100,Both skewed,Both normal
50,2,321.11628699302673,0.94,1,0.9699960607049372,0.9941521023752188,100,Both skewed,Both normal
50,3,327.2233581542969,0.85,1,0.972775854621577,0.9797513753497352,100,Both skewed,Both normal
50,4,313.199049949646,0.98,0.94,0.9687668001517904,0.9751742189910476,100,Both skewed,Both normal
50,5,315.21509099006653,0.99,1,0.9819524685371386,0.9835135917538842,100,Both skewed,Both normal
50,6,327.6868028640747,0.96,0.82,0.9673358079036536,0.9874247231137356,100,Both skewed,Both normal
50,7,313.0957360267639,0.99,0.98,0.9812012903969688,0.984909795406421,100,Both skewed,Both normal
50,8,315.111585855484,0.94,0.98,0.975461830949165,0.9880493479782714,100,Both skewed,Both normal
50,9,324.2849130630493,0.93,1,0.97698135072305,0.9913267662435764,100,Both skewed,Both normal
50,10,324.6747670173645,0.91,0.98,0.9719066102290156,0.9857784920328728,100,Both skewed,Both normal
600,1,694.9629271030426,1,0.9725,0.9878309999984444,0.9380131880405524,100,Both skewed,Both normal
600,2,672.4602060317993,0.87,0.9484,0.9798497905636356,0.9195025659980354,100,Both skewed,Both normal
600,3,727.1065521240234,0.96,0.9542,0.9845751865283596,0.9341699654902452,100,Both skewed,Both normal
600,4,746.8841090202332,1,0.9558,0.9832030587629454,0.9173935485911078,100,Both skewed,Both normal
600,5,719.6496751308441,0.99,0.9565,0.985517682437852,0.93444260448915,100,Both skewed,Both normal
600,6,695.1148490905762,0.97,0.9566,0.9857993780271698,0.9302621427668124,100,Both skewed,Both normal
600,7,674.0342180728912,0.92,0.9524,0.9825813269442222,0.9299534905314896,100,Both skewed,Both normal
600,8,716.6564869880676,0.99,0.9492,0.9892358439155696,0.9243496648702992,100,Both skewed,Both normal
600,9,728.710550069809,0.99,0.9409,0.9890301072543756,0.9132820300664652,100,Both skewed,Both normal
600,10,708.0735731124878,0.97,0.9456,0.9876685558338631,0.931637582443747,100,Both skewed,Both normal
300,1,711.02783203125,0.99,0.9149,0.9879828306358928,0.943682911697031,100,Both skewed,Both normal
300,2,662.6045570373535,0.99,0.9562,0.985135162610718,0.9608013551231194,100,Both skewed,Both normal
300,3,652.1614987850189,0.97,0.9577,0.9820180757368132,0.9642140570401596,100,Both skewed,Both normal
300,4,676.4547109603882,0.96,0.9404,0.9839944852111668,0.953591485936398,100,Both skewed,Both normal
300,5,657.235631942749,0.92,0.9692,0.9791977437211772,0.958874451584047,100,Both skewed,Both normal
300,6,643.4907450675964,0.9,0.9618,0.9834340207964876,0.9661802894609658,100,Both skewed,Both normal
300,7,661.3749308586121,0.98,0.9433,0.9850659715928866,0.9620709583821604,100,Both skewed,Both normal
300,8,668.3755419254303,0.97,0.9677,0.9856892636103236,0.963452640498742,100,Both skewed,Both normal
300,9,675.0546419620514,0.96,0.9385,0.9859868323086628,0.95664275552623,100,Both skewed,Both normal
300,10,658.1468358039856,0.98,0.9669,0.9868406091058266,0.956140137787687,100,Both skewed,Both normal
