n_items,rep,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,category_system
20,1,0.042532920837402344,0.25,0.15,0.9300812385462254,0.9183868996311577,100,3-category-freq
20,2,0.02207803726196289,0.23,0.15,0.9148633740369602,0.9659044332895224,100,3-category-freq
20,3,0.02608203887939453,0.33,0.15,0.9103033608363942,0.9695915116770091,100,3-category-freq
20,4,0.023058176040649414,0.25,0.05,0.8897770779553159,0.9148066444700773,100,3-category-freq
20,5,0.0914449691772461,0.31,0.15,0.9103202510401461,0.943009140977842,100,3-category-freq
20,6,0.02011585235595703,0.27,0.1,0.9283049430096664,0.9745255259192783,100,3-category-freq
20,7,0.020062923431396484,0.32,0.25,0.914330185728702,0.9681693463207319,100,3-category-freq
20,8,0.01978302001953125,0.27,0.2,0.9413012054745303,0.9856204056635877,100,3-category-freq
20,9,0.018530845642089844,0.24,0.1,0.8935577704239437,0.9714427123921164,100,3-category-freq
20,10,0.021145105361938477,0.22,0.1,0.9135624013882369,0.9697553321011481,100,3-category-freq
50,1,0.04792189598083496,0.2,0.08,0.9349215839170163,0.9029418606496565,100,3-category-freq
50,2,0.04047799110412598,0.18,0.14,0.9653734011514671,0.9483598202897636,100,3-category-freq
50,3,0.040856122970581055,0.23,0.16,0.9155107595484672,0.9610958640684936,100,3-category-freq
50,4,0.04430198669433594,0.27,0.1,0.955257967247759,0.9369600930075858,100,3-category-freq
50,5,0.04144597053527832,0.17,0.2,0.9459367682115366,0.9440235984823585,100,3-category-freq
50,6,0.04761815071105957,0.27,0.06,0.9143771740127614,0.9274724280051427,100,3-category-freq
50,7,0.042654991149902344,0.25,0.16,0.9488307538747494,0.9570886651855605,100,3-category-freq
50,8,0.04236912727355957,0.16,0.22,0.9399136660142419,0.9601273949526967,100,3-category-freq
50,9,0.04504108428955078,0.2,0.14,0.9419689890141758,0.961483147479121,100,3-category-freq
50,10,0.044013023376464844,0.2,0.12,0.9637508713000599,0.9684630144735547,100,3-category-freq
300,1,0.08445191383361816,0.14,0.2476,0.9219103235927503,0.9095145038590803,100,3-category-freq
300,2,0.09557795524597168,0.14,0.2022,0.9589793069872878,0.928214549533277,100,3-category-freq
300,3,0.09806704521179199,0.13,0.2023,0.9449440799474305,0.9242072554846232,100,3-category-freq
300,4,0.09382820129394531,0.11,0.1789,0.947902713859186,0.9199523352815581,100,3-category-freq
300,5,0.09350705146789551,0.15,0.2007,0.9585842715719669,0.9241092564495905,100,3-category-freq
300,6,0.09845709800720215,0.09,0.1721,0.9477239351548054,0.9287417228655793,100,3-category-freq
300,7,0.08705806732177734,0.14,0.2272,0.931725550703751,0.9103377480897263,100,3-category-freq
300,8,0.09970688819885254,0.14,0.1825,0.9567092886968634,0.9090503087829879,100,3-category-freq
300,9,0.09932994842529297,0.16,0.2375,0.951736500768726,0.9296963821015167,100,3-category-freq
300,10,0.09619784355163574,0.11,0.1973,0.9457881866986626,0.9148005907956438,100,3-category-freq
600,1,0.090724945068359375,0.16,0.2741,0.9587652623152894,0.9018884772485276,100,3-category-freq
600,2,0.08996820449829102,0.17,0.2641,0.9319805115067977,0.9092449761462492,100,3-category-freq
600,3,0.09416890144348145,0.13,0.2566,0.923483667366852,0.8865944013675364,100,3-category-freq
600,4,0.08927392959594727,0.14,0.2552,0.9508576189682735,0.8917707026385869,100,3-category-freq
600,5,0.08602404594421387,0.17,0.2828,0.9447017458231531,0.9127338926219469,100,3-category-freq
600,6,0.08368182182312012,0.1,0.2747,0.9677078307668459,0.9109185163390968,100,3-category-freq
600,7,0.07741904258728027,0.09,0.2577,0.9497748510522092,0.8834255447695195,100,3-category-freq
600,8,0.08904886245727539,0.09,0.2707,0.9488592836015164,0.8900826763284742,100,3-category-freq
600,9,0.08033108711242676,0.11,0.2781,0.9447434702704904,0.8917513350580729,100,3-category-freq
600,10,0.09897589683532715,0.12,0.3141,0.9625470394572557,0.8965747626077846,100,3-category-freq
