n_items,rep,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,category_system
20,1,0.03904318809509277,0.77,0.15,0.90851940493134,0.9544690343914182,100,5-category-a-freq
20,2,0.023517847061157227,0.75,0.5,0.9206910800551337,0.9384413480151432,100,5-category-a-freq
20,3,0.02246999740600586,0.6,0.45,0.8699624090009707,0.964556342864688,100,5-category-a-freq
20,4,0.021408796310424805,0.74,0.3,0.8874425116771499,0.9385509135387717,100,5-category-a-freq
20,5,0.019411087036132812,0.75,0.45,0.8843803842924061,0.9675992474831026,100,5-category-a-freq
20,6,0.019112110137939453,0.79,0.55,0.9157541889831357,0.9619028818322098,100,5-category-a-freq
20,7,0.019184112548828125,0.74,0.5,0.9306451880577973,0.9645021976912616,100,5-category-a-freq
20,8,0.0201261043548584,0.81,0.05,0.9334332462275123,0.9739639505248593,100,5-category-a-freq
20,9,0.02076411247253418,0.7,0.7,0.8653963165902244,0.9428951675402297,100,5-category-a-freq
20,10,0.019479990005493164,0.6,0.55,0.9112523576560843,0.9392651852449062,100,5-category-a-freq
50,1,0.0539398193359375,0.79,0.26,0.9617999058742238,0.9473312558309541,100,5-category-a-freq
50,2,0.04544711112976074,0.58,0.48,0.9443020623874642,0.9358607203972855,100,5-category-a-freq
50,3,0.04417109489440918,0.63,0.5,0.9529219912046042,0.9517802055615383,100,5-category-a-freq
50,4,0.04422807693481445,0.7,0.36,0.9432070269475538,0.9492543966969988,100,5-category-a-freq
50,5,0.043263912200927734,0.63,0.62,0.9604493481706377,0.9589864582423859,100,5-category-a-freq
50,6,0.05125713348388672,0.71,0.26,0.9414799035059832,0.9518391994063454,100,5-category-a-freq
50,7,0.04181098937988281,0.64,0.36,0.9494375609177734,0.9613154597462203,100,5-category-a-freq
50,8,0.045014142990112305,0.76,0.32,0.9424691666554003,0.9590312824146678,100,5-category-a-freq
50,9,0.052947044372558594,0.66,0.44,0.9539236238125062,0.9737039444851355,100,5-category-a-freq
50,10,0.042073965072631836,0.58,0.7,0.9481151066393861,0.9480099034006306,100,5-category-a-freq
300,1,0.08997893333435059,0.42,0.6555,0.9504282434698823,0.9270197271779527,100,5-category-a-freq
300,2,0.08789300918579102,0.51,0.6475,0.9516307892161032,0.925348041696497,100,5-category-a-freq
300,3,0.1093897819519043,0.37,0.6298,0.9483930309261392,0.9294725468327384,100,5-category-a-freq
300,4,0.093418121337890625,0.54,0.6649,0.9489708503102227,0.9276794089618332,100,5-category-a-freq
300,5,0.0897061824798584,0.59,0.5919,0.9216540185919104,0.9098521168421779,100,5-category-a-freq
300,6,0.09378600120544434,0.5,0.6897,0.9451566418974613,0.9109611672494583,100,5-category-a-freq
300,7,0.10114192962646484,0.59,0.6186,0.9170021340164578,0.914614485562456,100,5-category-a-freq
300,8,0.0923459529876709,0.5,0.6673,0.9483111414375841,0.9427809728196772,100,5-category-a-freq
300,9,0.10206079483032227,0.38,0.6925,0.9686147797648968,0.9515268758296591,100,5-category-a-freq
300,10,0.09830999374389648,0.47,0.7112,0.9546620107838132,0.9357042135173359,100,5-category-a-freq
600,1,0.09067082405090332,0.35,0.7462,0.9623050379905675,0.9043999181099971,100,5-category-a-freq
600,2,0.09183406829833984,0.49,0.7577,0.9476111028704389,0.8921601855537454,100,5-category-a-freq
600,3,0.08165597915649414,0.35,0.7489,0.9566934999448552,0.9072291128315813,100,5-category-a-freq
600,4,0.07731103897094727,0.54,0.6994,0.9416507001700755,0.8801092562538845,100,5-category-a-freq
600,5,0.08611202239990234,0.41,0.7089,0.9606708443985172,0.8902678088899049,100,5-category-a-freq
600,6,0.08565282821655273,0.51,0.7446,0.9517786084018786,0.8982177630605014,100,5-category-a-freq
600,7,0.09099411964416504,0.38,0.7271,0.9518031479414919,0.910380960575715,100,5-category-a-freq
600,8,0.07947802543640137,0.59,0.7356,0.9701979987108836,0.8932537235453968,100,5-category-a-freq
600,9,0.09185791015625,0.39,0.7605,0.9569798325365168,0.9091271045110791,100,5-category-a-freq
600,10,0.09623098373413086,0.51,0.7075,0.9441423980956662,0.8999730730616796,100,5-category-a-freq
