n_items,rep,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,category_system
20,1,0.04750394821166992,0.73,0.65,0.912273445697913,0.9609473361152256,100,5-category-b-freq
20,2,0.02083277702331543,0.65,0.75,0.8974312316743723,0.9510038852121924,100,5-category-b-freq
20,3,0.022062063217163086,0.65,0.6,0.9093156499705913,0.9481492352049533,100,5-category-b-freq
20,4,0.022099018096923828,0.65,0.75,0.9030452941996544,0.9517810354841058,100,5-category-b-freq
20,5,0.020303010940551758,0.56,0.45,0.9035417349830949,0.9817969773558125,100,5-category-b-freq
20,6,0.02169489860534668,0.79,0.1,0.9234013450214006,0.9609506797305221,100,5-category-b-freq
20,7,0.019050121307373047,0.78,0.35,0.9333568439774482,0.9801554910010569,100,5-category-b-freq
20,8,0.018179893493652344,0.62,0.75,0.9335392970452749,0.9464492885446337,100,5-category-b-freq
20,9,0.019558191299438477,0.81,0.55,0.9252757641836667,0.9513433103216551,100,5-category-b-freq
20,10,0.020793914794921875,0.63,0.5,0.8940252575744134,0.9676162597321422,100,5-category-b-freq
50,1,0.04469799995422363,0.75,0.38,0.9282259262007507,0.96457410866593285,100,5-category-b-freq
50,2,0.05050992965698242,0.71,0.42,0.9467067129970865,0.9250817742330298,100,5-category-b-freq
50,3,0.04924798011779785,0.76,0.38,0.944923141120251,0.9638610003998656,100,5-category-b-freq
50,4,0.04075193405151367,0.54,0.64,0.9607910265637213,0.9439237873456466,100,5-category-b-freq
50,5,0.0399930477142334,0.58,0.42,0.9542662022589449,0.9672950712970232,100,5-category-b-freq
50,6,0.043138980865478516,0.73,0.42,0.9582761137387202,0.9738228775690956,100,5-category-b-freq
50,7,0.04975605010986328,0.69,0.36,0.9556309238174484,0.9648625520068602,100,5-category-b-freq
50,8,0.04735708236694336,0.56,0.64,0.9344683202157018,0.9200729045410515,100,5-category-b-freq
50,9,0.04149913787841797,0.55,0.58,0.9133057969434285,0.9477095395810577,100,5-category-b-freq
50,10,0.047650814056396484,0.64,0.52,0.9516372621250303,0.9545714007985665,100,5-category-b-freq
300,1,0.13538503646850586,0.55,0.6983,0.9152909852159336,0.9246280201075433,100,5-category-b-freq
300,2,0.10323214530944824,0.54,0.5937,0.9356134819411773,0.9246108695033826,100,5-category-b-freq
300,3,0.10447001457214355,0.63,0.564,0.959517859173459,0.9285804209530975,100,5-category-b-freq
300,4,0.09195613861083984,0.36,0.6303,0.9679630776453781,0.9366654311470701,100,5-category-b-freq
300,5,0.11644911766052246,0.5,0.6776,0.9328335148023659,0.9413100899034373,100,5-category-b-freq
300,6,0.11020708084106445,0.56,0.6679,0.9461518437839648,0.9299333671811091,100,5-category-b-freq
300,7,0.10156106948852539,0.53,0.7118,0.9676667746942541,0.9322955974191107,100,5-category-b-freq
300,8,0.10527801513671875,0.54,0.659,0.9526338658074196,0.9423793036380921,100,5-category-b-freq
300,9,0.10738492012023926,0.47,0.6585,0.9658596723635224,0.9398197233922047,100,5-category-b-freq
300,10,0.09819793701171875,0.57,0.6942,0.9544056059504552,0.9517273238162398,100,5-category-b-freq
600,1,0.08268904685974121,0.45,0.6526,0.9507521749844545,0.8964177236978977,100,5-category-b-freq
600,2,0.08696985244750977,0.54,0.6877,0.9547326158086271,0.8910440450828059,100,5-category-b-freq
600,3,0.08422398567199707,0.49,0.6798,0.9545113648661733,0.9010018770343827,100,5-category-b-freq
600,4,0.0936589241027832,0.48,0.7361,0.9620263302621083,0.8966776255007983,100,5-category-b-freq
600,5,0.09829115867614746,0.49,0.7794,0.9701744435688594,0.9055565569542221,100,5-category-b-freq
600,6,0.096240997314453125,0.52,0.7034,0.91717454663761,0.9101929627880883,100,5-category-b-freq
600,7,0.09052300453186035,0.58,0.7413,0.9402803526288178,0.9045346900006348,100,5-category-b-freq
600,8,0.08929896354675293,0.32,0.7697,0.9651278227274991,0.9244720288454389,100,5-category-b-freq
600,9,0.08488702774047852,0.34,0.7551,0.9678418811038636,0.9222586883592507,100,5-category-b-freq
600,10,0.0956881046295166,0.37,0.7105,0.9374810784765089,0.8941204229755804,100,5-category-b-freq
