n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,simulation,model
20,1,113.0518970489502,NA,0.9,NA,0.989506404152582,100,Theta,No theta
20,2,92.93350982666016,NA,0.45,NA,0.9921134887571308,100,Theta,No theta
20,3,92.86548900604248,NA,0.65,NA,0.9797233632713476,100,Theta,No theta
20,4,97.6257119178772,NA,0.55,NA,0.9898433848562987,100,Theta,No theta
20,5,87.97521591186523,NA,0.65,NA,0.9851741005764176,100,Theta,No theta
20,6,93.76587009429932,NA,1,NA,0.992418276186876,100,Theta,No theta
20,7,103.47459292411804,NA,0.85,NA,0.9872296367312792,100,Theta,No theta
20,8,100.3724992275238,NA,0.65,NA,0.9914354011944964,100,Theta,No theta
20,9,97.8525891304016,NA,0.65,NA,0.9895752781685818,100,Theta,No theta
20,10,116.07357215881348,NA,0.75,NA,0.9821196307887036,100,Theta,No theta
50,1,197.5720329284668,NA,0.52,NA,0.9836430468251854,100,Theta,No theta
50,2,204.6196341514587,NA,0.6,NA,0.9847254926749428,100,Theta,No theta
50,3,242.97812294960025,NA,0.66,NA,0.9855395942534758,100,Theta,No theta
50,4,231.00966095924375,NA,0.64,NA,0.9749093152145408,100,Theta,No theta
50,5,246.46227192878723,NA,0.66,NA,0.9815438355470936,100,Theta,No theta
50,6,223.55270886421204,NA,0.56,NA,0.978678786571279,100,Theta,No theta
50,7,224.53727197647095,NA,0.82,NA,0.9870747437561,100,Theta,No theta
50,8,200.79032397270203,NA,0.64,NA,0.9769536450192574,100,Theta,No theta
50,9,248.8036470413208,NA,0.74,NA,0.9951935997931812,100,Theta,No theta
50,10,224.82058000564575,NA,0.56,NA,0.9887960617767614,100,Theta,No theta
600,1,448.90901279449463,NA,0.7721,NA,0.9188098281926216,100,Theta,No theta
600,2,439.10268902778625,NA,0.7556,NA,0.908252536148094,100,Theta,No theta
600,3,456.2198610305786,NA,0.7797,NA,0.9047062359876848,100,Theta,No theta
600,4,450.31787514686584,NA,0.7879,NA,0.9107050381313752,100,Theta,No theta
600,5,439.9095640182495,NA,0.7563,NA,0.9086923043428706,100,Theta,No theta
600,6,450.24661016464233,NA,0.8175,NA,0.9079650367235164,100,Theta,No theta
600,7,441.06117701530457,NA,0.7476,NA,0.8994381591071884,100,Theta,No theta
600,8,463.32476687431335,NA,0.7992,NA,0.8980535377580431,100,Theta,No theta
600,9,435.0894429683686,NA,0.7427,NA,0.8948447817095317,100,Theta,No theta
600,10,451.8758251667022,NA,0.7481,NA,0.8959971489998998,100,Theta,No theta
300,1,414.2051751613617,NA,0.6805,NA,0.9558145740017822,100,Theta,No theta
300,2,408.3103630542755,NA,0.8342,NA,0.937626044386352,100,Theta,No theta
300,3,419.0676190853119,NA,0.7608,NA,0.9494533506850724,100,Theta,No theta
300,4,404.51353001594543,NA,0.7821,NA,0.956541405022291,100,Theta,No theta
300,5,406.97336888313293,NA,0.7851,NA,0.949144461489256,100,Theta,No theta
300,6,405.8138151168823,NA,0.7524,NA,0.9550010906940752,100,Theta,No theta
300,7,410.94668316841125,NA,0.7505,NA,0.9369588304629888,100,Theta,No theta
300,8,412.6704750061035,NA,0.7473,NA,0.9614415851401104,100,Theta,No theta
300,9,402.59970808029175,NA,0.7642,NA,0.9461536398764078,100,Theta,No theta
300,10,410.22856187820435,NA,0.7301,NA,0.9467481911328872,100,Theta,No theta
