n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,simulation,model
20,1,175.2219250202179,0.97,1,0.9303387183034748,0.9887453973341632,100,Skewed beta,Normal beta
20,2,181.9836461544037,0.93,0.95,0.9176413017696288,0.9849839857387426,100,Skewed beta,Normal beta
20,3,154.1844301223755,0.96,1,0.940644745849573,0.9823768320837024,100,Skewed beta,Normal beta
20,4,148.14432191848755,0.96,1,0.9289656499448524,0.98148955749736,100,Skewed beta,Normal beta
20,5,148.0093219280243,0.95,1,0.9422637962295064,0.995057899083437,100,Skewed beta,Normal beta
20,6,168.67532515525818,0.98,1,0.9485640283315182,0.9942911604614236,100,Skewed beta,Normal beta
20,7,151.43441486358645,0.95,1,0.9337297994824948,0.98352004785900915,100,Skewed beta,Normal beta
20,8,197.11866188049316,0.94,1,0.9424353524261538,0.9925732992059912,100,Skewed beta,Normal beta
20,9,134.92104411125183,0.94,0.95,0.9287582522130984,0.9846631066272084,100,Skewed beta,Normal beta
20,10,138.55991983413696,0.98,0.9,0.9445835310523464,0.9767165351990604,100,Skewed beta,Normal beta
50,1,336.43421816825867,0.98,0.84,0.9785387206824434,0.991168380175107,100,Skewed beta,Normal beta
50,2,318.6805019378662,0.96,0.94,0.9728331521043364,0.9871108063540268,100,Skewed beta,Normal beta
50,3,312.2410669326782,0.98,0.98,0.973555218177425,0.984188989866733,100,Skewed beta,Normal beta
50,4,329.2532157897949,0.97,0.9,0.9798808568134584,0.9910029914066182,100,Skewed beta,Normal beta
50,5,328.28510308265686,0.97,1,0.9813580323465696,0.9906983211051608,100,Skewed beta,Normal beta
50,6,324.3598909378052,0.96,0.84,0.9751395064423928,0.9884899883380872,100,Skewed beta,Normal beta
50,7,315.2642831802368,0.99,0.98,0.9696715396250152,0.981046331361302,100,Skewed beta,Normal beta
50,8,310.0944838523865,0.98,0.9,0.9805607073391754,0.9794071069239252,100,Skewed beta,Normal beta
50,9,309.29601192474365,0.91,1,0.9621151242018342,0.9899556122656554,100,Skewed beta,Normal beta
50,10,308.655522108078,0.97,1,0.9697834278186952,0.9900413044726444,100,Skewed beta,Normal beta
600,1,697.8837099075317,0.82,0.946,0.9891190881619172,0.9380351666807258,100,Skewed beta,Normal beta
600,2,690.1838409900665,0.9,0.944,0.9826808290980994,0.9237926406818332,100,Skewed beta,Normal beta
600,3,713.3489639759064,0.99,0.9436,0.9893546257479756,0.9343976089670484,100,Skewed beta,Normal beta
600,4,733.927356004715,0.96,0.9614,0.9900041949188518,0.9328552401759184,100,Skewed beta,Normal beta
600,5,691.1511120796204,0.97,0.9494,0.9844273451005532,0.926337736025786,100,Skewed beta,Normal beta
600,6,706.06405210495,0.95,0.944,0.9856537891567142,0.9190259351984928,100,Skewed beta,Normal beta
600,7,690.9097199440002,0.97,0.9503,0.9895549554798232,0.9363140997540086,100,Skewed beta,Normal beta
600,8,832.0783751010895,0.82,0.9602,0.9777767792623282,0.9330287861087608,100,Skewed beta,Normal beta
600,9,689.9493777751923,0.97,0.9517,0.9842443960888804,0.938057194787237,100,Skewed beta,Normal beta
600,10,920.2260811328888,0.93,0.9463,0.9803098183708552,0.926308110050678,100,Skewed beta,Normal beta
300,1,679.093633890152,1,0.9433,0.9893139845685232,0.9581875506383576,100,Skewed beta,Normal beta
300,2,649.5686349868774,0.97,0.9505,0.97928286057642,0.958570807736144,100,Skewed beta,Normal beta
300,3,677.5068230628967,0.99,0.9417,0.9883845026386684,0.9644222705227988,100,Skewed beta,Normal beta
300,4,661.943372964859,0.95,0.9472,0.981489695349991,0.9624177127888532,100,Skewed beta,Normal beta
300,5,653.5003299713135,0.77,0.9643,0.9794432049736,0.960436948051146,100,Skewed beta,Normal beta
300,6,645.5161001682281,0.98,0.9676,0.9822660674827122,0.966897713579908,100,Skewed beta,Normal beta
300,7,745.8140499591827,0.99,0.9438,0.989007136863052,0.9584887747585774,100,Skewed beta,Normal beta
300,8,636.9142601490021,0.95,0.9446,0.9806050325432548,0.95819547465105,100,Skewed beta,Normal beta
300,9,674.0234110355377,0.99,0.9491,0.986634772869243,0.9599286149506912,100,Skewed beta,Normal beta
300,10,667.5505321025848,0.97,0.9391,0.9790172329296984,0.9659695015593404,100,Skewed beta,Normal beta
