n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,simulation,model
20,1,152.09266710281372,0.94,0.95,0.9518255482839598,0.990503804503797,100,Skewed theta,Normal theta
20,2,168.8841199874878,0.87,0.65,0.932566363746191,0.9873736376365644,100,Skewed theta,Normal theta
20,3,140.15314197540283,0.92,1,0.9161954068385066,0.9928941182065376,100,Skewed theta,Normal theta
20,4,139.15374398231506,0.98,0.95,0.9325389187671608,0.982466166610522,100,Skewed theta,Normal theta
20,5,152.6166169643402,0.95,1,0.9361290551274046,0.985043990734239,100,Skewed theta,Normal theta
20,6,161.72854495048523,0.92,0.9,0.9354561144368148,0.9841310444538328,100,Skewed theta,Normal theta
20,7,148.35882997512817,0.96,1,0.9423503559621912,0.9861624227717752,100,Skewed theta,Normal theta
20,8,136.39863085746765,0.95,0.65,0.8988294616919379,0.9856929520067628,100,Skewed theta,Normal theta
20,9,137.86315608024597,0.98,1,0.9526533511845244,0.9919444285675164,100,Skewed theta,Normal theta
20,10,152.96287488937378,0.94,1,0.9205123978985504,0.9750959009127274,100,Skewed theta,Normal theta
50,1,319.396203994751,0.92,0.92,0.9641290473438184,0.9840831959771136,100,Skewed theta,Normal theta
50,2,321.25839018821716,0.96,1,0.9723251368799076,0.9919264279976582,100,Skewed theta,Normal theta
50,3,323.6027431488037,0.97,1,0.9814816075621028,0.9887448635888008,100,Skewed theta,Normal theta
50,4,333.62382793426514,0.93,0.92,0.9658932737589186,0.9818736497090708,100,Skewed theta,Normal theta
50,5,321.49992990493774,0.96,0.88,0.9753960721554636,0.9897908087737638,100,Skewed theta,Normal theta
50,6,311.1848409175873,0.98,0.94,0.9748322725788034,0.9863481083939044,100,Skewed theta,Normal theta
50,7,309.8907561302185,0.97,0.96,0.9780189102684778,0.9851641615387452,100,Skewed theta,Normal theta
50,8,318.99173498153687,0.99,0.58,0.9810942747240096,0.981455933035213,100,Skewed theta,Normal theta
50,9,339.0694909095764,0.93,0.92,0.971544825687427,0.9897257467489804,100,Skewed theta,Normal theta
50,10,333.635537147522,0.97,0.96,0.9719914978344334,0.9830130212971524,100,Skewed theta,Normal theta
600,1,685.1756069660187,0.94,0.9466,0.9872207667149188,0.9182590355370632,100,Skewed theta,Normal theta
600,2,718.8248019218445,0.98,0.9596,0.9840317767947216,0.932385517496592,100,Skewed theta,Normal theta
600,3,737.6728749275208,0.93,0.951,0.9856474902407016,0.936319208930878,100,Skewed theta,Normal theta
600,4,740.3862400054932,0.98,0.939,0.9826447035160476,0.9291028399840732,100,Skewed theta,Normal theta
600,5,729.8303229808807,0.92,0.9375,0.9825272287795164,0.9248930509816512,100,Skewed theta,Normal theta
600,6,709.6745319366455,0.97,0.9428,0.9879897838378356,0.91934452489216,100,Skewed theta,Normal theta
600,7,721.9891390800476,0.98,0.9566,0.9866414734837784,0.9195750133764048,100,Skewed theta,Normal theta
600,8,675.0179810523987,0.92,0.9511,0.9841740468002546,0.9157827392546102,100,Skewed theta,Normal theta
600,9,721.0043239593506,0.99,0.9527,0.9836667393065588,0.92472785357439935,100,Skewed theta,Normal theta
600,10,717.0964360237122,0.98,0.9535,0.9885317351465196,0.9368617556772312,100,Skewed theta,Normal theta
300,1,660.6429860591888,0.93,0.9197,0.9832506541807172,0.9547625655907774,100,Skewed theta,Normal theta
300,2,706.2305638790131,0.98,0.9572,0.988871816326161,0.957711630659414,100,Skewed theta,Normal theta
300,3,687.124419927597,0.97,0.9327,0.9868086686452234,0.9520822359980372,100,Skewed theta,Normal theta
300,4,680.2458078861237,0.97,0.947,0.9867387868554868,0.9515984556456832,100,Skewed theta,Normal theta
300,5,676.259752035141,0.99,0.9527,0.984422949054112,0.9553852524554942,100,Skewed theta,Normal theta
300,6,657.6330199241638,0.99,0.9411,0.9846659625261692,0.9591895635715612,100,Skewed theta,Normal theta
300,7,654.7908170223236,0.96,0.9558,0.9857722743368108,0.956437309980929,100,Skewed theta,Normal theta
300,8,663.7344880104065,0.97,0.9094,0.984903376276784,0.9507919003919568,100,Skewed theta,Normal theta
300,9,672.4072198867798,0.97,0.9725,0.98711427955819,0.9579388723778032,100,Skewed theta,Normal theta
300,10,664.6056959629059,0.99,0.9418,0.9871499053572924,0.952076453655245,100,Skewed theta,Normal theta
