exID,pairID,responseID,ground_truth,reported_difficulty,value_decision,response3,response5,ds
1,1,1,N,2,A_OFVAL,1,1,1
1,3,2,N,3,A_OFVAL,1,1,1
1,5,3,N,3,A_OFVAL,1,1,1
1,9,4,N,1,A_OFVAL,1,1,1
1,12,5,N,2,A_OFVAL,1,1,1
1,21,6,N,4,A_OFVAL,1,1,1
1,29,7,N,2,A_OFVAL,1,1,1
1,33,8,N,2,A_OFVAL,1,1,1
1,41,9,N,1,A_OFVAL,1,1,1
1,43,10,N,3,A_OFVAL,1,1,1
1,52,11,N,3,A_OFVAL,1,1,1
1,55,12,N,4,A_OFVAL,1,1,1
1,61,13,M,2,A_OFVAL,3,5,0
1,64,14,N,4,A_OFVAL,2,4,1
1,68,15,N,3,A_OFVAL,2,4,1
1,70,16,N,3,A_OFVAL,1,1,1
1,76,17,N,3,A_OFVAL,1,1,1
1,77,18,N,1,A_OFVAL,1,1,1
1,78,19,N,2,A_OFVAL,1,1,1
1,79,20,N,NA,C_NOVAL,NA,NA,1
1,81,21,N,3,A_OFVAL,1,1,1
1,82,22,M,1,A_OFVAL,3,5,0
1,83,23,N,3,A_OFVAL,1,1,1
1,84,24,N,2,A_OFVAL,1,1,1
1,90,25,N,4,A_OFVAL,1,1,1
1,93,26,M,3,A_OFVAL,3,5,0
1,100,27,N,2,A_OFVAL,1,1,1
1,105,28,N,2,A_OFVAL,1,1,1
1,107,29,N,3,A_OFVAL,1,1,1
1,109,30,M,1,A_OFVAL,3,5,0
1,113,31,M,3,A_OFVAL,3,5,0
1,114,32,N,2,A_OFVAL,1,1,1
1,116,33,N,3,A_OFVAL,1,1,1
1,123,34,N,3,A_OFVAL,1,1,1
1,126,35,N,3,A_OFVAL,1,1,1
1,130,36,N,3,A_OFVAL,1,1,1
1,131,37,N,3,A_OFVAL,1,1,1
1,140,38,N,3,A_OFVAL,1,1,1
1,141,39,N,3,A_OFVAL,1,1,1
1,142,40,N,4,A_OFVAL,1,1,1
1,151,41,M,3,A_OFVAL,3,5,0
1,161,42,M,2,A_OFVAL,3,5,0
1,162,43,N,3,A_OFVAL,1,1,1
1,165,44,N,3,A_OFVAL,1,1,1
1,172,45,N,1,A_OFVAL,1,1,1
1,173,46,N,2,A_OFVAL,1,1,1
1,177,47,N,3,A_OFVAL,2,2,1
1,179,48,M,3,A_OFVAL,3,5,0
1,181,49,M,3,A_OFVAL,3,5,0
1,184,50,N,4,A_OFVAL,1,1,1
1,186,51,N,2,A_OFVAL,1,1,1
1,189,52,N,2,A_OFVAL,1,1,1
1,195,53,N,2,A_OFVAL,1,1,1
