exID,pairID,responseID,ground_truth,KQ/QQ,value_decision,response3,response5,reported_difficulty
1,9,1,Mated,KQ,Value,3,5,2
1,116,2,Nonmated,KQ,Value,2,2,3
1,126,3,Nonmated,KQ,Value,1,1,1
1,271,4,Nonmated,KQ,Value,1,1,2
1,344,5,Mated,KQ,Value,2,3,5
1,370,6,Nonmated,KQ,Value,2,3,4
1,428,7,Nonmated,KQ,Value,2,2,4
1,476,8,Mated,KQ,Value,2,4,5
1,502,9,Mated,KQ,Value,3,5,3
1,583,10,Nonmated,KQ,Value,2,3,5
2,9,11,Mated,KQ,Value,3,5,3
2,75,12,Nonmated,KQ,Value,2,2,3
2,90,13,Nonmated,KQ,Value,2,3,3
2,107,14,Nonmated,KQ,Value,2,3,3
2,113,15,Mated,KQ,Value,3,5,3
2,116,16,Nonmated,KQ,Value,2,3,3
2,121,17,Nonmated,KQ,Value,1,1,3
2,133,18,Mated,KQ,Value,3,5,3
2,182,19,Nonmated,KQ,Value,2,3,3
2,186,20,Mated,KQ,Value,3,5,3
2,190,21,Nonmated,KQ,Value,2,3,3
2,246,22,Nonmated,KQ,Value,3,5,3
2,259,23,Nonmated,KQ,Value,1,1,3
2,260,24,Nonmated,KQ,Value,2,3,3
2,271,25,Nonmated,KQ,Value,2,3,3
2,279,26,Nonmated,KQ,Value,2,3,3
2,287,27,Nonmated,KQ,Value,2,3,3
2,307,28,Nonmated,KQ,Value,2,3,3
2,311,29,Nonmated,KQ,Value,1,1,2
2,314,30,Mated,KQ,Value,3,5,3
2,322,31,Nonmated,KQ,Value,2,3,3
2,344,32,Mated,KQ,Value,3,5,3
2,389,33,Nonmated,KQ,Value,2,4,3
2,425,34,Mated,KQ,Value,3,5,3
2,473,35,Mated,KQ,Value,3,5,3
2,475,36,Nonmated,KQ,Value,2,4,3
2,502,37,Mated,KQ,Value,3,5,3
2,505,38,Nonmated,KQ,Value,2,2,3
2,519,39,Nonmated,KQ,Value,3,5,3
2,532,40,Nonmated,KQ,Value,1,1,2
2,564,41,Nonmated,KQ,Value,2,4,3
2,576,42,Nonmated,KQ,Value,1,1,3
2,584,43,Mated,KQ,Value,2,4,3
2,595,44,Nonmated,KQ,Value,2,3,3
2,599,45,Mated,KQ,Value,3,5,3
3,7,46,Mated,KQ,Value,3,5,4
3,47,47,Nonmated,KQ,Value,2,3,4
3,86,48,Nonmated,KQ,Value,2,3,3
3,100,49,Nonmated,KQ,Value,2,2,3
3,110,50,Mated,KQ,Value,3,5,4
3,123,51,Mated,KQ,Value,3,5,2
3,163,52,Mated,KQ,Value,2,3,4
3,166,53,Nonmated,KQ,Value,2,2,3
3,174,54,Nonmated,KQ,Value,2,3,3
3,189,55,Mated,KQ,Value,2,4,4
3,195,56,Mated,KQ,Value,3,5,3
3,201,57,Nonmated,KQ,Value,2,2,3
3,236,58,Nonmated,KQ,Value,2,2,4
3,255,59,Nonmated,KQ,Value,1,1,2
3,275,60,Nonmated,KQ,Value,1,1,1
3,277,61,Nonmated,KQ,Value,1,1,1
