exID,pairID,responseID,ground_truth,response3,response5
1,15,1,Nonmated,2,2
12,41,2,Nonmated,2,3
12,59,3,Nonmated,2,3
12,28,4,Mated,3,5
12,8,5,Mated,3,5
12,52,6,Mated,3,5
12,4,7,Mated,3,5
12,46,8,Mated,2,3
12,51,9,Nonmated,1,1
12,60,10,Mated,2,3
12,43,11,Nonmated,1,1
12,37,12,Nonmated,2,3
12,11,13,Nonmated,1,1
12,5,14,Nonmated,2,3
12,57,15,Nonmated,1,1
12,22,16,Mated,2,3
8,36,17,Mated,3,5
8,37,18,Nonmated,2,2
8,14,19,Mated,2,2
8,34,20,Mated,2,2
8,25,21,Nonmated,1,1
8,24,22,Mated,2,3
8,39,23,Nonmated,2,3
8,57,24,Nonmated,1,1
8,54,25,Mated,3,5
8,19,26,Nonmated,2,3
8,16,27,Mated,3,5
8,56,28,Mated,2,2
8,1,29,Nonmated,2,3
8,35,30,Nonmated,1,1
8,3,31,Nonmated,1,1
8,48,32,Mated,3,5
8,45,33,Nonmated,2,3
8,28,34,Mated,3,5
8,55,35,Nonmated,1,1
8,32,36,Mated,3,5
8,47,37,Nonmated,2,3
8,50,38,Mated,2,3
8,10,39,Mated,2,3
16,41,40,Nonmated,1,1
11,46,41,Mated,2,3
11,7,42,Nonmated,2,3
11,32,43,Mated,1,1
11,37,44,Nonmated,1,1
11,59,45,Nonmated,1,1
11,19,46,Nonmated,1,1
11,52,47,Mated,3,5
11,4,48,Mated,3,5
11,33,49,Nonmated,2,3
11,42,50,Mated,3,5
11,44,51,Mated,2,3
11,22,52,Mated,2,3
11,41,53,Nonmated,2,2
11,53,54,Nonmated,1,1
11,11,55,Nonmated,1,1
11,31,56,Nonmated,2,2
11,56,57,Mated,2,3
11,51,58,Nonmated,1,1
11,43,59,Nonmated,1,1
11,26,60,Mated,2,4
11,29,61,Nonmated,1,1
11,18,62,Mated,3,5
11,34,63,Mated,3,5
11,15,64,Nonmated,2,3
11,35,65,Nonmated,1,1
11,10,66,Mated,2,3
11,45,67,Nonmated,2,3
11,23,68,Nonmated,2,3
11,60,69,Mated,3,5
11,1,70,Nonmated,1,1
11,25,71,Nonmated,2,3
11,9,72,Nonmated,1,1
11,54,73,Mated,3,5
11,16,74,Mated,3,5
11,2,75,Mated,2,3
11,6,76,Mated,2,3
11,8,77,Mated,3,5
11,40,78,Mated,2,2
11,5,79,Nonmated,1,1
11,3,80,Nonmated,2,3
11,47,81,Nonmated,1,1
11,50,82,Mated,2,3
11,24,83,Mated,2,3
11,21,84,Nonmated,2,3
11,48,85,Mated,2,4
11,49,86,Nonmated,1,1
11,13,87,Nonmated,2,3
11,57,88,Nonmated,1,1
11,14,89,Mated,3,5
11,27,90,Nonmated,2,3
11,39,91,Nonmated,2,3
11,38,92,Mated,2,3
11,58,93,Mated,3,5
11,12,94,Mated,2,4
11,17,95,Nonmated,1,1
11,30,96,Mated,2,3
11,28,97,Mated,2,2
11,20,98,Mated,3,5
11,55,99,Nonmated,1,1
11,36,100,Mated,3,5
14,11,101,Nonmated,1,1
14,56,102,Mated,2,2
14,49,103,Nonmated,2,3
14,22,104,Mated,2,3
14,20,105,Mated,3,5
14,9,106,Nonmated,2,2
14,45,107,Nonmated,2,3
14,51,108,Nonmated,1,1
14,28,109,Mated,3,5
14,30,110,Mated,3,5
14,6,111,Mated,2,3
14,19,112,Nonmated,2,3
14,59,113,Nonmated,2,2
14,46,114,Mated,2,3
14,7,115,Nonmated,2,3
14,2,116,Mated,2,3
14,34,117,Mated,3,5
14,18,118,Mated,3,5
14,26,119,Mated,3,5
14,48,120,Mated,2,4
14,60,121,Mated,3,5
14,39,122,Nonmated,2,3
14,57,123,Nonmated,1,1
14,3,124,Nonmated,2,3
14,52,125,Mated,3,5
14,25,126,Nonmated,2,3
14,15,127,Nonmated,2,3
14,50,128,Mated,2,3
14,29,129,Nonmated,1,1
14,16,130,Mated,1,1
14,27,131,Nonmated,2,3
14,40,132,Mated,2,3
14,32,133,Mated,2,4
14,42,134,Mated,3,5
20,51,135,Nonmated,1,1
14,5,136,Nonmated,1,1
20,10,137,Mated,2,3
20,31,138,Nonmated,2,2
14,36,139,Mated,3,5
20,8,140,Mated,3,5
14,4,141,Mated,3,5
14,1,142,Nonmated,1,1
20,48,143,Mated,2,3
14,54,144,Mated,3,5
14,21,145,Nonmated,1,1
14,43,146,Nonmated,1,1
14,37,147,Nonmated,1,1
14,58,148,Mated,3,5
14,12,149,Mated,2,3
