exID,pairID,responseID,ground_truth,response3,reported_difficulty
130,556,1,Non-mates,1,NA
31,556,2,Non-mates,1,NA
10,556,3,Non-mates,1,NA
14,556,4,Non-mates,1,NA
164,556,5,Non-mates,1,2
146,556,6,Non-mates,1,4
124,556,7,Non-mates,1,4
55,556,8,Non-mates,2,NA
80,556,9,Non-mates,1,NA
101,556,10,Non-mates,2,NA
57,556,11,Non-mates,1,2
127,556,12,Non-mates,1,NA
58,556,13,Non-mates,1,2
83,556,14,Non-mates,1,NA
61,556,15,Non-mates,1,NA
30,556,16,Non-mates,1,NA
65,556,17,Non-mates,1,NA
138,556,18,Non-mates,1,4
68,556,19,Non-mates,1,2
70,556,20,Non-mates,1,NA
161,556,21,Non-mates,1,NA
43,556,22,Non-mates,1,2
16,556,23,Non-mates,1,2
22,556,24,Non-mates,1,NA
149,556,25,Non-mates,1,2
85,537,26,Non-mates,1,NA
106,537,27,Non-mates,1,NA
14,537,28,Non-mates,1,4
71,537,29,Non-mates,1,NA
41,537,30,Non-mates,1,NA
51,537,31,Non-mates,1,NA
169,537,32,Non-mates,1,NA
27,537,33,Non-mates,1,2
103,537,34,Non-mates,1,2
29,537,35,Non-mates,1,2
155,537,36,Non-mates,1,4
111,537,37,Non-mates,1,2
137,537,38,Non-mates,1,NA
115,537,39,Non-mates,1,2
141,537,40,Non-mates,1,NA
75,537,41,Non-mates,1,4
93,537,42,Non-mates,1,2
46,537,43,Non-mates,1,4
18,537,44,Non-mates,1,NA
48,537,45,Non-mates,1,NA
98,537,46,Non-mates,1,2
82,580,47,Non-mates,1,NA
59,580,48,Non-mates,1,2
84,580,49,Non-mates,1,NA
7,580,50,Non-mates,1,NA
10,580,51,Non-mates,1,NA
39,580,52,Non-mates,1,2
14,580,53,Non-mates,1,4
40,580,54,Non-mates,1,2
72,580,55,Non-mates,1,NA
21,580,56,Non-mates,1,2
123,580,57,Non-mates,1,NA
124,580,58,Non-mates,1,NA
169,580,59,Non-mates,1,NA
54,580,60,Non-mates,1,2
55,580,61,Non-mates,1,4
80,580,62,Non-mates,2,4
101,580,63,Non-mates,1,4
57,580,64,Non-mates,1,2
127,580,65,Non-mates,1,NA
152,580,66,Non-mates,1,2
58,580,67,Non-mates,1,2
28,580,68,Non-mates,1,1
83,580,69,Non-mates,1,NA
61,580,70,Non-mates,1,1
104,580,71,Non-mates,1,NA
30,580,72,Non-mates,2,5
133,580,73,Non-mates,1,NA
107,580,74,Non-mates,1,NA
154,580,75,Non-mates,1,2
88,580,76,Non-mates,1,2
134,580,77,Non-mates,2,NA
156,580,78,Non-mates,1,1
35,580,79,Non-mates,1,NA
65,580,80,Non-mates,1,2
138,580,81,Non-mates,1,NA
