exID,pairID,responseID,ground_truth,value_decision,response3,response5,response7,reported_difficulty
1,2,1,Nonmated,1B_NoValue,NA,NA,NA,NA
1,5,2,Nonmated,1A_Value,2,4,5,4
1,8,3,Nonmated,1A_Value,1,1,1,1
1,9,4,Mated,1A_Value,3,5,7,3
1,13,5,Mated,1A_Value,2,4,5,4
1,17,6,Mated,1A_Value,2,4,5,2
1,18,7,Nonmated,1A_Value,2,2,3,3
1,21,8,Nonmated,1A_Value,1,1,1,2
1,28,9,Nonmated,1A_Value,2,2,2,3
1,31,10,Nonmated,1A_Value,2,4,5,3
1,35,11,Mated,1A_Value,2,4,6,3
1,192,12,Mated,1A_Value,2,4,6,4
1,37,13,Nonmated,1A_Value,2,2,2,5
1,132,14,Nonmated,1A_Value,2,4,5,3
1,52,15,Nonmated,1A_Value,2,4,5,4
1,54,16,Mated,1A_Value,2,4,5,4
1,55,17,Nonmated,1A_Value,1,1,1,1
1,59,18,Nonmated,1A_Value,2,4,5,3
1,64,19,Nonmated,1A_Value,2,4,5,4
1,65,20,Nonmated,1A_Value,2,4,6,3
1,74,21,Nonmated,1A_Value,1,1,1,3
1,75,22,Nonmated,1A_Value,2,2,2,4
1,81,23,Nonmated,1A_Value,2,4,5,3
1,84,24,Nonmated,1A_Value,1,1,1,3
1,88,25,Nonmated,1A_Value,2,4,5,3
1,97,26,Nonmated,1A_Value,2,2,2,5
1,103,27,Nonmated,1A_Value,1,1,1,3
1,105,28,Mated,1A_Value,2,4,6,3
1,109,29,Nonmated,1A_Value,1,1,1,1
1,113,30,Mated,1A_Value,2,4,5,3
1,122,31,Nonmated,1A_Value,1,1,1,2
1,123,32,Nonmated,1A_Value,1,1,1,4
1,125,33,Mated,1A_Value,2,3,4,5
1,127,34,Nonmated,1A_Value,2,2,2,3
1,128,35,Nonmated,1A_Value,2,2,2,5
1,130,36,Mated,1A_Value,2,4,6,1
1,131,37,Nonmated,1A_Value,1,1,1,4
1,133,38,Mated,1A_Value,3,5,7,2
1,291,39,Mated,1A_Value,3,5,7,1
1,135,40,Mated,1A_Value,2,4,6,2
1,137,41,Mated,1A_Value,2,4,5,2
1,138,42,Nonmated,1A_Value,2,4,5,2
1,144,43,Mated,1A_Value,3,5,7,1
1,150,44,Mated,1A_Value,3,5,7,2
1,151,45,Mated,1A_Value,2,4,6,4
1,152,46,Mated,1A_Value,2,4,5,3
1,153,47,Nonmated,1A_Value,1,1,1,2
1,280,48,Mated,1A_Value,3,5,7,3
1,155,49,Mated,1A_Value,2,4,5,4
1,160,50,Mated,1A_Value,3,5,7,3
1,162,51,Mated,1A_Value,2,4,6,3
1,163,52,Mated,1A_Value,2,2,2,4
1,166,53,Nonmated,1A_Value,2,4,5,3
1,167,54,Mated,1A_Value,1,1,1,3
1,168,55,Nonmated,1A_Value,1,1,1,3
1,169,56,Nonmated,1A_Value,2,4,5,3
1,178,57,Mated,1A_Value,2,4,5,3
1,279,58,Nonmated,1A_Value,1,1,1,4
1,179,59,Nonmated,1A_Value,1,1,1,2
1,193,60,Nonmated,1A_Value,2,4,5,3
1,194,61,Nonmated,1A_Value,2,4,5,4
1,197,62,Nonmated,1A_Value,2,2,2,4
1,198,63,Mated,1A_Value,1,1,1,3
1,202,64,Nonmated,1A_Value,1,1,1,3
1,203,65,Nonmated,1A_Value,2,4,5,3
1,204,66,Nonmated,1A_Value,2,2,2,3
1,205,67,Nonmated,1A_Value,2,2,2,4
1,206,68,Mated,1A_Value,2,4,5,4
1,207,69,Nonmated,1A_Value,1,1,1,3
1,285,70,Nonmated,1A_Value,2,2,2,5
1,209,71,Nonmated,1A_Value,2,2,2,3
1,215,72,Nonmated,1A_Value,2,4,5,3
