exID,pairID,responseID,ground_truth,response3,response5,reported_difficulty
4,1,1,M,2,2,1
4,109,2,M,2,2,1
4,4,3,M,3,5,3
4,5,4,N,3,5,5
4,9,5,N,2,4,3
4,10,6,N,3,5,3
4,116,7,N,3,5,1
4,14,8,N,3,5,3
4,18,9,M,1,1,3
4,22,10,N,3,5,3
4,25,11,M,3,5,1
4,29,12,N,2,4,3
4,31,13,N,3,5,3
4,32,14,N,3,5,1
4,33,15,M,1,1,1
4,102,16,N,2,4,1
4,39,17,M,1,1,3
4,43,18,N,1,1,1
4,45,19,N,1,1,1
4,46,20,M,2,2,3
4,47,21,M,1,1,3
4,133,22,M,1,1,1
4,48,23,M,1,1,1
4,49,24,M,2,2,1
4,52,25,N,3,5,1
4,53,26,N,2,4,3
4,142,27,N,2,2,3
4,55,28,N,2,2,1
4,157,29,N,2,4,5
4,56,30,N,2,4,3
4,58,31,M,2,2,1
4,174,32,M,2,2,1
4,60,33,N,2,4,1
4,61,34,M,3,5,1
4,62,35,N,3,5,3
4,63,36,N,3,5,3
4,64,37,N,3,5,3
4,65,38,M,2,2,1
4,68,39,N,3,5,3
4,70,40,M,1,1,3
4,73,41,N,2,4,3
4,74,42,M,1,1,1
4,75,43,N,1,1,1
4,80,44,M,1,1,1
4,83,45,M,2,4,1
4,84,46,N,2,4,1
4,185,47,M,2,2,1
4,85,48,M,2,2,3
4,196,49,N,2,4,3
4,86,50,N,2,4,1
4,87,51,N,2,2,3
4,89,52,N,1,1,1
4,91,53,N,2,4,1
4,92,54,M,1,1,1
4,93,55,N,3,5,3
4,96,56,N,2,4,1
4,97,57,N,2,4,1
4,99,58,N,3,5,1
4,100,59,N,2,4,1
4,103,60,N,1,1,1
4,105,61,N,1,1,3
4,106,62,N,2,4,1
4,200,63,M,3,5,3
4,107,64,M,2,3,3
4,108,65,M,1,1,1
4,111,66,N,3,5,1
4,114,67,M,2,4,1
4,123,68,N,1,1,1
4,125,69,M,1,1,3
4,129,70,N,2,4,3
4,132,71,M,1,1,3
4,134,72,N,1,1,1
4,135,73,N,3,5,5
4,137,74,M,1,1,3
4,139,75,M,2,2,3
4,140,76,M,3,5,1
4,141,77,N,3,5,1
4,145,78,N,3,5,3
4,147,79,M,3,5,3
4,148,80,M,2,4,3
4,151,81,M,1,1,1
4,155,82,N,1,1,3
4,158,83,N,3,5,1
4,160,84,M,1,1,1
4,163,85,M,2,2,3
4,165,86,N,2,4,3
4,171,87,N,3,5,1
4,172,88,N,2,3,3
4,175,89,N,3,5,1
4,181,90,N,2,2,3
4,182,91,M,2,2,1
4,184,92,M,2,2,3
4,186,93,M,1,1,1
4,189,94,N,2,4,5
4,191,95,M,1,1,1
4,193,96,M,2,2,3
4,195,97,M,3,5,3
4,197,98,M,1,1,1
4,199,99,N,1,1,1
5,1,100,M,1,1,1
5,5,101,N,3,5,NA
5,10,102,N,3,5,3
5,29,103,N,3,5,3
5,32,104,N,3,5,1
5,45,105,N,3,5,5
5,133,106,M,1,1,1
5,142,107,N,3,5,1
5,157,108,N,3,5,NA
5,58,109,M,1,1,NA
5,68,110,N,3,5,1
5,75,111,N,3,5,1
5,185,112,M,1,1,1
5,196,113,N,2,4,3
5,92,114,M,1,1,3
5,93,115,N,3,5,1
5,97,116,N,3,5,1
5,200,117,M,2,3,NA
5,108,118,M,1,1,1
5,125,119,M,1,1,NA
5,132,120,M,2,2,5
5,134,121,N,3,5,1
5,135,122,N,3,5,NA
5,137,123,M,1,1,NA
5,151,124,M,2,2,3
5,165,125,N,2,4,3
5,175,126,N,3,5,1
5,182,127,M,1,1,NA
5,184,128,M,1,1,3
5,199,129,N,2,4,3
6,109,130,M,1,1,NA
6,1,131,M,1,1,NA
6,4,132,M,1,1,3
6,5,133,N,2,4,3
6,9,134,N,2,4,1
6,116,135,N,2,2,1
6,10,136,N,2,4,3
6,14,137,N,3,5,3
6,18,138,M,2,2,1
6,22,139,N,2,4,3
6,25,140,M,2,2,1
6,29,141,N,2,4,1
6,31,142,N,2,4,5
6,32,143,N,3,5,1
6,33,144,M,1,1,1
6,102,145,N,3,5,1
6,37,146,N,3,5,1
6,39,147,M,1,1,3
6,43,148,N,2,4,5
6,45,149,N,2,2,3
6,46,150,M,1,1,NA
6,47,151,M,1,1,NA
6,48,152,M,1,1,3
6,133,153,M,1,1,1
6,49,154,M,1,1,1
6,52,155,N,3,5,3
6,53,156,N,3,5,3
6,55,157,N,2,4,1
6,142,158,N,2,4,1
6,56,159,N,3,5,NA
6,157,160,N,3,5,NA
6,174,161,M,1,1,NA
6,58,162,M,1,1,NA
6,60,163,N,3,5,1
6,61,164,M,1,1,3
6,62,165,N,3,5,3
6,63,166,N,2,4,5
6,64,167,N,3,5,1
6,65,168,M,1,1,NA
6,68,169,N,3,5,1
6,70,170,M,2,2,3
6,73,171,N,2,4,3
6,74,172,M,2,2,1
6,75,173,N,3,5,1
6,80,174,M,1,1,1
6,83,175,M,2,2,5
6,84,176,N,2,4,3
6,85,177,M,1,1,3
6,185,178,M,2,2,1
6,86,179,N,3,5,3
6,196,180,N,3,5,1
6,87,181,N,3,5,1
6,89,182,N,2,4,3
6,91,183,N,3,5,3
6,92,184,M,2,2,1
6,93,185,N,2,4,3
6,96,186,N,3,5,1
6,97,187,N,3,5,1
6,99,188,N,3,5,3
6,100,189,N,3,5,1
6,103,190,N,2,2,3
6,105,191,N,3,5,3
6,106,192,N,3,5,3
6,107,193,M,2,2,3
6,200,194,M,2,2,3
6,108,195,M,1,1,1
6,111,196,N,3,5,NA
6,114,197,M,1,1,3
6,123,198,N,3,5,3
6,125,199,M,3,5,1
6,129,200,N,2,4,5
6,132,201,M,1,1,1
6,134,202,N,3,5,1
6,135,203,N,3,5,1
6,137,204,M,1,1,NA
6,139,205,M,1,1,1
6,140,206,M,1,1,1
6,141,207,N,3,5,1
6,145,208,N,3,5,3
6,147,209,M,2,2,3
6,148,210,M,2,4,3
6,151,211,M,1,1,1
6,155,212,N,2,4,3
6,158,213,N,3,5,1
6,160,214,M,2,2,3
6,163,215,M,1,1,NA
6,165,216,N,3,5,1
6,171,217,N,3,5,1
6,172,218,N,2,4,3
6,175,219,N,2,4,1
6,181,220,N,2,4,3
6,182,221,M,1,1,NA
6,184,222,M,2,4,1
6,186,223,M,2,2,3
6,189,224,N,3,5,NA
6,191,225,M,1,1,1
6,193,226,M,1,1,1
6,195,227,M,1,1,1
6,197,228,M,1,1,1
6,199,229,N,3,5,1
11,1,230,M,1,1,1
11,5,231,N,3,5,3
11,10,232,N,3,5,5
11,18,233,M,2,2,3
11,29,234,N,3,5,1
11,32,235,N,3,5,3
11,45,236,N,2,4,5
11,46,237,M,1,1,NA
11,133,238,M,1,1,1
11,142,239,N,1,1,1
