exID,pairID,responseID,ground_truth,reported_difficulty,value_decision,response3,response5,response7
2,46,1,Mated,2,A_YES,1,1,1
2,61,2,Nonmated,3,A_YES,2,4,6
11,41,3,Nonmated,2,A_YES,2,2,3
16,4,4,Mated,3,A_YES,2,2,3
16,8,5,Nonmated,2,A_YES,2,2,3
16,10,6,Mated,3,A_YES,2,2,3
16,11,7,Mated,3,A_YES,2,4,6
16,19,8,Nonmated,2,A_YES,2,2,3
16,20,9,Nonmated,3,A_YES,2,2,3
16,25,10,Nonmated,3,A_YES,2,2,3
16,31,11,Nonmated,2,A_YES,2,2,3
16,37,12,Nonmated,3,A_YES,2,2,3
16,43,13,Nonmated,2,A_YES,2,2,3
16,44,14,Nonmated,3,A_YES,2,2,3
16,46,15,Mated,2,A_YES,1,1,1
16,49,16,Nonmated,3,A_YES,2,4,5
16,51,17,Mated,2,A_YES,2,2,3
16,54,18,Mated,2,A_YES,2,2,3
16,55,19,Mated,2,A_YES,2,4,5
16,58,20,Nonmated,2,A_YES,2,2,3
16,61,21,Nonmated,3,A_YES,2,4,5
16,63,22,Nonmated,3,A_YES,2,2,3
16,65,23,Nonmated,2,A_YES,2,2,3
16,70,24,Mated,3,A_YES,2,4,5
16,71,25,Nonmated,2,A_YES,2,2,3
5,1,26,Mated,3,A_YES,2,4,5
5,2,27,Mated,3,A_YES,2,2,3
5,7,28,Mated,3,A_YES,2,2,3
5,8,29,Nonmated,2,A_YES,3,5,7
5,11,30,Mated,3,A_YES,1,1,1
5,14,31,Nonmated,3,A_YES,3,5,7
5,16,32,Nonmated,2,A_YES,2,4,5
5,17,33,Nonmated,4,A_YES,2,4,6
5,20,34,Nonmated,3,A_YES,2,4,5
5,25,35,Nonmated,3,A_YES,2,4,6
5,26,36,Mated,2,A_YES,2,2,3
5,27,37,Mated,2,A_YES,1,1,1
5,28,38,Nonmated,5,A_YES,2,4,5
5,29,39,Mated,3,A_YES,2,2,2
5,30,40,Mated,3,A_YES,2,4,5
5,31,41,Nonmated,3,A_YES,3,5,7
5,32,42,Mated,3,A_YES,1,1,1
5,34,43,Nonmated,3,A_YES,2,2,3
5,37,44,Nonmated,4,A_YES,2,4,5
5,38,45,Nonmated,4,A_YES,2,4,5
5,40,46,Mated,2,A_YES,1,1,1
5,43,47,Nonmated,3,A_YES,2,2,3
5,45,48,Mated,3,A_YES,1,1,1
5,47,49,Nonmated,3,A_YES,2,4,5
5,49,50,Nonmated,3,A_YES,2,4,5
5,50,51,Mated,3,A_YES,2,4,5
5,51,52,Mated,3,A_YES,2,2,2
5,54,53,Mated,5,A_YES,2,4,5
5,55,54,Mated,3,A_YES,2,2,3
5,58,55,Nonmated,4,A_YES,2,4,5
5,59,56,Mated,4,A_YES,2,4,5
5,61,57,Nonmated,3,A_YES,3,5,7
5,62,58,Nonmated,4,A_YES,2,4,6
5,65,59,Nonmated,3,A_YES,3,5,7
5,67,60,Nonmated,4,A_YES,3,5,7
5,70,61,Mated,3,A_YES,2,2,3
5,71,62,Nonmated,3,A_YES,2,4,5
5,74,63,Nonmated,3,A_YES,2,4,5
5,75,64,Nonmated,2,A_YES,2,2,3
5,77,65,Nonmated,3,A_YES,2,4,5
6,39,66,Nonmated,4,A_YES,2,2,3
6,47,67,Nonmated,4,A_YES,2,2,3
12,74,68,Nonmated,3,A_YES,2,4,5
13,2,69,Mated,3,A_YES,2,4,5
13,3,70,Nonmated,3,A_YES,2,4,6
13,4,71,Mated,3,A_YES,2,4,5
13,6,72,Nonmated,3,A_YES,2,2,3
13,9,73,Nonmated,3,A_YES,2,4,5
13,10,74,Mated,2,A_YES,2,2,3
13,11,75,Mated,2,A_YES,2,2,3
13,12,76,Nonmated,2,A_YES,2,4,5
13,14,77,Nonmated,3,A_YES,3,5,7
13,15,78,Mated,2,A_YES,2,2,3
13,16,79,Nonmated,3,A_YES,3,5,7
13,18,80,Nonmated,2,A_YES,2,2,3
13,20,81,Nonmated,3,A_YES,2,4,5
13,21,82,Mated,2,A_YES,2,4,5
13,27,83,Mated,1,A_YES,1,1,1
13,28,84,Nonmated,4,A_YES,3,5,7
13,29,85,Mated,2,A_YES,1,1,1
13,31,86,Nonmated,3,A_YES,2,2,3
13,33,87,Mated,3,A_YES,2,4,5
13,34,88,Nonmated,2,A_YES,2,4,5
13,35,89,Mated,2,A_YES,2,2,3
13,38,90,Nonmated,2,A_YES,2,4,5
13,39,91,Nonmated,2,A_YES,2,4,5
13,45,92,Mated,3,A_YES,1,1,1
13,49,93,Nonmated,2,A_YES,2,2,3
13,51,94,Mated,3,A_YES,2,2,3
13,52,95,Mated,2,A_YES,2,2,3
13,53,96,Nonmated,4,A_YES,3,5,7
13,57,97,Mated,3,A_YES,2,4,5
13,59,98,Mated,4,A_YES,2,2,3
13,62,99,Nonmated,2,A_YES,2,2,3
13,63,100,Nonmated,3,A_YES,2,2,3
13,64,101,Mated,2,A_YES,2,2,3
13,65,102,Nonmated,3,A_YES,3,5,7
13,67,103,Nonmated,3,A_YES,3,5,7
