AnonID,Cset,Mating,Phase,K01_Q1value,K03_Caliber,K04_Twist,K05_LGnum,K06_LGwidth,K07_Rifling,K08_Conclusion,K09_Difficulty,K10_Comparability,K11_CircumQ1,K12_AmtRiflingQ1
BARSM,KQ1060,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,No,66-100%
BARSM,KQ1767,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,HiRepro,No,66-100%
BARSM,KQ1833,Nonmated,Primary (Baseline),Value,Same,Same,Diff,Diff,Same,Excl,VEasy,HiRepro,Yes,66-100%
BARSM,KQ2741,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Diff,Same,Excl,Easy,HiRepro,No,66-100%
BARSM,KQ3253,Mated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Insuff,VDiff,LowRepro,Yes,66-100%
BARSM,KQ3477,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Diff,ModRepro,Yes,66-100%
BARSM,KQ3859,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,ModRepro,No,66-100%
BARSM,KQ4156,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,VDiff,HiRepro,No,66-100%
BARSM,KQ4277,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BARSM,KQ4699,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,CantTell,Same,Insuff,VDiff,LowRepro,No,66-100%
BATVZ,KQ1060,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,No,66-100%
BATVZ,KQ1486,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,ModRepro,Yes,66-100%
BATVZ,KQ1578,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,LowRepro,Yes,66-100%
BATVZ,KQ1723,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BATVZ,KQ1759,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,33-66%
BATVZ,KQ1767,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BATVZ,KQ1797,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Excl,Norm,ModRepro,No,33-66%
BATVZ,KQ1875,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BATVZ,KQ2180,Nonmated,Primary (Baseline),Value,CantTell,Same,Same,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BATVZ,KQ2225,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,33-66%
BATVZ,KQ2238,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,HiRepro,Yes,66-100%
BATVZ,KQ2602,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,66-100%
BATVZ,KQ2684,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,LowRepro,Yes,66-100%
BATVZ,KQ2689,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BATVZ,KQ2741,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BATVZ,KQ2814,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BATVZ,KQ2873,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BATVZ,KQ3012,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BATVZ,KQ3021,Nonmated,Primary (Baseline),Value,Same,Same,Diff,Diff,Same,Excl,Easy,ModRepro,Yes,66-100%
BATVZ,KQ3038,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BATVZ,KQ3102,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BATVZ,KQ3253,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BATVZ,KQ3600,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,Norm,ModRepro,No,66-100%
BATVZ,KQ3828,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,66-100%
BATVZ,KQ4130,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BATVZ,KQ4155,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,Norm,ModRepro,Yes,66-100%
BATVZ,KQ4277,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BATVZ,KQ4283,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,ModRepro,Yes,66-100%
BATVZ,KQ4369,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BATVZ,KQ4431,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Diff,Same,Excl,Easy,ModRepro,No,66-100%
BATVZ,KQ4552,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Same,Same,LeanID,Norm,ModRepro,No,66-100%
