AnonID,Cset,Mating,Phase,Q01_Q1value,Q02_Q2value,Q03_Caliber,Q04_Twist,Q05_LGnum,Q06_LGwidth,Q07_Rifling,Q08_Conclusion,Q09_Difficulty,Q10_Ammo,Q11_CircumQ1,Q12_CircumQ2,Q13_AmtRiflingQ1,Q14_AmtRiflingQ2
BARSM,QQ5076,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Norm,AmmoDiff,Yes,No,66-100%,66-100%
BARSM,QQ5179,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Diff,AmmoInc,No,No,66-100%,66-100%
BARSM,QQ5218,Nonmated,Primary (Baseline),Value,NV,CantTell,Same,CantTell,Same,Same,NoValue,na,na,na,na,na,na
BARSM,QQ6155,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoProb,Yes,No,66-100%,66-100%
BARSM,QQ7383,Nonmated,Primary (Baseline),Value,Value,Same,Same,Diff,Diff,Same,Excl,VEasy,AmmoDiff,Yes,Yes,66-100%,66-100%
BARSM,QQ7556,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Norm,AmmoDiff,No,No,66-100%,66-100%
BARSM,QQ7644,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoProb,No,No,66-100%,66-100%
BARSM,QQ8231,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Diff,AmmoProb,Yes,Yes,66-100%,66-100%
BARSM,QQ8351,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Easy,AmmoSame,Yes,Yes,66-100%,66-100%
BARSM,QQ8616,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,CantTell,Same,LeanExcl,Norm,AmmoProb,Yes,No,66-100%,66-100%
BATVZ,QQ5015,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoInc,Yes,No,66-100%,66-100%
BATVZ,QQ5035,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ5061,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ5076,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoDiff,Yes,No,66-100%,33-66%
BATVZ,QQ5094,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ5179,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoInc,No,No,66-100%,66-100%
BATVZ,QQ5218,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoInc,Yes,No,66-100%,66-100%
BATVZ,QQ5329,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Easy,AmmoProb,No,No,66-100%,66-100%
BATVZ,QQ5357,Mated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,Insuff,Norm,AmmoDiff,Yes,No,66-100%,66-100%
BATVZ,QQ5510,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoProb,No,No,33-66%,66-100%
BATVZ,QQ5523,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,No,Yes,66-100%,66-100%
