AnonID,QKRset,QKset,Mating,RepeatOrder (AnonID),1_Value,Conclusion,Outcome,Design,Mold,Size,Wear,NumRACs,7_RACs,Difficulty,9_Software,Photos,12_Typical,13_Orientation,14_Comment,QualityLimit,QuantityAreaLimit,DistortionLimit,SubstrateLimit,QimageryLimit,KimageryLimit,KtransparenciesLimit,RACsLimit,RACclarityLimit,LimitCount
AF1131,QK002,QK002,Nonmated,0,1B_NoValue,NotSuitable,NoValue,NULL,NULL,NULL,NULL,0,NULL,NULL,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,The crime scene impression needs to be rephotographed. The paper has move after the footwear impression was laid down. Readjust the paper and re-photograph. Need more test impressions. Something strange is happening on the outermost elements on the lateral side of the toe.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryLimit,KimageryOK,KtransparenciesLimit,RACsOK,RACclarityOK,2
AF1131,QK005,QK005,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Difficult,9A_EnhanceSW,PhotosUsed,12A_Typical,180CCW,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK009,QK009,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,NoSize,Wear unsure,0,NULL,VEasy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK010,QK010,Mated,0,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,3,"0472,0200|0372,0416|0520,0391|",Moderate,9C_NoSW,PhotosUsed,12B_Unusual,UNK_A,Why is the photograph of the glass out of focus? On the gel lift photograph it is clear that there is an element from a different shoe at the top of the toe. This would not be common to see one element of another shoe at a crime scene.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK015,QK015,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK019,QK019,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK020,QK020,Nonmated,0,1A_Value,LimitedAssn,N-LimitedAssn,UnsureDesign,NULL,NULL,NULL,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaLimit,DistortionLimit,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK023,QK023,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,NoSize,Wear different,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK030,QK030,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK033,QK033,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12C_NotTypical,UNK_A,I rarely get a shoe with no wear as part of my casework.,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
