Participant (AnonID),QKset,QKRset,Mating,Baseline Dataset,Repeat order for Participant,Qamt,Kamt,SD,Factor Pair,Factor Pair Role,Outcome,Conclusion,Excl Basis,Difficulty,Skill Level,WritingType,QVariation,KVariation,Comparable,NeedOriginals,Comment,Limitation Count,L1_QClarity,L2_KClarity,L3_QQuantity,L4_KQuantity,L5_Insuff,L6_NotComp,L7_Unexp,L8_Distortion,IF-A_Abbrev,IF-B_Align,IF-C_Arrange,IF-D_BaselineRel,IF-E_ConnStrokes,IF-F_HeightRel,IF-G_TermStrokes,IF-H_Formation,IF-I_PenLifts,IF-J_PenPres,IF-L_Punc,IF-K_Rhythm,IF-M_Size,IF-N_Skill,IF-O_Slant,IF-P_Spacing,IF-Q_Symbol
AH1C7C,QK325,QK325-QK648,M,Yes,1, QL, K1, S,,,CA,ProbWritten,,Easy,HighSkill,Mixed,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK648,QK325-QK648,M,No,2, QL, K1, S,,,CA,ProbWritten,,Easy,HighSkill,DisconnCursive,LargeVar,LargeVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK331,QK331,M,Yes,0, QL, K3, D,,,FN,NotWritten,Holistic,Med,LowSkill,DisconnCursive,MedVar,MedVar,SameText,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK332,QK332,N,Yes,0, QL, K3, D,,,TN,NotWritten,Details,Diff,HighSkill,ConnectedCursive,LimitedVar,LimitedVar,CommonWords,,,1,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK338,QK338,N,Yes,0, QS, K1, D,QK338-QK344,QS-Kx-D,CN,ProbNot,Details,Med,LowSkill,DisconnCursive,LimitedVar,LimitedVar,CommonWords,No,,2,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK340,QK340-QK662,N,Yes,1, QL, K3, S,,,TN,NotWritten,Details,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK662,QK340-QK662,N,No,2, QL, K3, S,,,TN,NotWritten,Details,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
AH1C7C,QK347,QK347,N,Yes,0, QS, K5, D,QK334-QK347,QS-Kx-D,TN,NotWritten,Details,Med,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
AH1C7C,QK360,QK360,M,Yes,0, QS, K3, D,QK359-QK360,Qx-K3-D,TP,Written,,Med,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK373,QK373,N,Yes,0, QS, K5, S,QK373-QK465,QS-Kx-S,TN,NotWritten,Details,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
AH1C7C,QK380,QK380,M,Yes,0, QS, K3, S,QK379-QK380,Qx-K3-S,FN,NotWritten,Details,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,SameText,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
AH1C7C,QK389,QK389,N,Yes,0, QL, K1, D,,,CN,ProbNot,Details,Med,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK395,QK395,N,Yes,0, QL, K3, D,,,TN,NotWritten,Holistic,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK397,QK397,N,Yes,0, QL, K5, S,,,TN,NotWritten,Details,Easy,HighSkill,DisconnPrint,LimitedVar,LimitedVar,SameText,,,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK398,QK398,M,Yes,0, QL, K3, D,,,TP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK634,QK408-QK634,N,Yes,1, QL, K3, S,QK409-QK634,Qx-K3-S,CN,ProbNot,Details,Easy,MedSkill,ConnectedPrint,MedVar,MedVar,SameText,No,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK417,QK417,M,Yes,0, QL, K3, S,,,TP,Written,,Med,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK429,QK429,N,Yes,0, QL, K5, D,,,FP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK435,QK435,N,Yes,0, QL, K3, D,,,FP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK437,QK437,M,Yes,0, QL, K1, S,,,CA,ProbWritten,,Med,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,No,,2,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK439,QK439,M,Yes,0, QL, K5, D,,,TP,Written,,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK727,QK442-QK727,M,Yes,1, QL, K3, S,QK442-QK727,Qx-K3-S,TP,Written,,Easy,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK442,QK442-QK727,M,No,2, QL, K3, S,QK531-QK727,Qx-K3-S,TP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK450,QK450,M,Yes,0, QA, K1, D,,,CA,ProbWritten,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,2,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK462,QK462,N,Yes,0, QL, K5, D,,,TN,NotWritten,Holistic,Easy,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK464,QK464,N,Yes,0, QL, K1, D,,,CN,ProbNot,Holistic,Med,HighSkill,DisconnCursive,LimitedVar,LimitedVar,CommonWords,No,,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
AH1C7C,QK744,QK472-QK744,N,Yes,1, QL, K1, S,,,IA,ProbWritten,,Med,HighSkill,ConnectedCursive,LimitedVar,LimitedVar,SameText,No,,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK472,QK472-QK744,N,No,2, QL, K1, S,,,IA,ProbWritten,,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK793,QK475-QK793,N,Yes,1, QL, K1, S,QK475-QK793,QL-Kx-S,CN,ProbNot,Holistic,Diff,HighSkill,ConnectedPrint,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK475,QK475-QK793,N,No,2, QL, K1, S,QK776-QK793,QL-Kx-S,CN,ProbNot,Details,Med,MedSkill,DisconnCursive,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK478,QK478-QK841,M,Yes,1, QL, K1, S,,,CA,ProbWritten,,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK841,QK478-QK841,M,No,2, QL, K1, S,,,CA,ProbWritten,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK488,QK488,N,Yes,0, QL, K1, S,,,CN,ProbNot,Details,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK496,QK496,M,Yes,0, QL, K5, D,,,FN,NotWritten,Details,Easy,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK499,QK499,N,Yes,0, QS, K3, D,QK499-QK765,QS-K3-x,TN,NotWritten,Details,Med,LowSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK500,QK500,N,Yes,0, QL, K5, D,,,TN,NotWritten,Details,Med,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK501,QK501,N,Yes,0, QL, K5, S,,,TN,NotWritten,Details,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK505,QK505,M,Yes,0, QL, K1, D,,,CA,ProbWritten,,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK509,QK509,N,Yes,0, QL, K3, D,,,TN,NotWritten,Details,Med,HighSkill,ConnectedCursive,MedVar,MedVar,SameText,,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
AH1C7C,QK513,QK513,M,Yes,0, QL, K3, S,,,TP,Written,,Med,MedSkill,ConnectedPrint,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK522,QK522,N,Yes,0, QL, K1, D,,,CN,ProbNot,Details,Med,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK528,QK528,M,Yes,0, QS, K5, S,QK460-QK528,QS-Kx-S,TP,Written,,Easy,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK529,QK529,N,Yes,0, QL, K5, D,,,FP,Written,,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK539,QK539,M,Yes,0, QL, K3, D,QK458-QK539,QL-K3-x,TP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK554,QK554,M,Yes,0, QL, K1, D,QK554-QK584,QL-Kx-D,IN,ProbNot,Holistic,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
AH1C7C,QK555,QK555,N,Yes,0, QL, K1, S,,,CN,ProbNot,Details,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
