id;userid;conclusionType;trial;condition;stimid;rt;decision;valuedecision;timestamp
2262;95;""1"";1;5;15;2130;1;2;"2020-01-10 09:42:14"
2263;108;""0"";1;3;41;6500;2;2;"2020-01-10 11:16:09"
2264;108;""0"";2;3;59;88380;2;2;"2020-01-10 11:17:39"
2265;108;""0"";3;5;28;9370;4;2;"2020-01-10 11:17:50"
2266;108;""0"";4;5;8;31880;4;2;"2020-01-10 11:18:23"
2267;108;""0"";5;3;52;5110;4;2;"2020-01-10 11:18:29"
2268;108;""0"";6;5;4;12030;4;2;"2020-01-10 11:18:43"
2269;108;""0"";7;5;46;41420;2;2;"2020-01-10 11:19:25"
2270;108;""0"";8;3;51;21530;0;2;"2020-01-10 11:19:48"
2271;108;""0"";9;3;60;13490;2;2;"2020-01-10 11:20:03"
2272;108;""0"";10;5;43;26410;0;2;"2020-01-10 11:20:30"
2273;108;""0"";11;5;37;18800;2;0;"2020-01-10 11:20:50"
2274;108;""0"";12;3;11;62690;0;2;"2020-01-10 11:21:54"
2275;108;""0"";13;3;5;107790;2;2;"2020-01-10 11:23:45"
2276;108;""0"";14;5;57;78920;0;2;"2020-01-10 11:25:06"
2277;108;""0"";15;5;22;72750;2;2;"2020-01-10 11:26:23"
2278;103;""1"";1;5;36;7850;4;2;"2020-01-10 13:36:05"
2279;103;""1"";2;5;37;15500;1;2;"2020-01-10 13:36:31"
2280;103;""1"";3;5;14;24140;1;2;"2020-01-10 13:36:49"
2281;103;""1"";4;5;34;102210;1;2;"2020-01-10 13:38:34"
2282;103;""1"";5;3;25;20470;0;2;"2020-01-10 13:38:57"
2283;103;""1"";6;3;24;8190;2;1;"2020-01-10 13:39:07"
2284;103;""1"";7;5;39;17850;2;0;"2020-01-10 13:39:27"
2285;103;""1"";8;3;57;9470;0;2;"2020-01-10 13:39:39"
2286;103;""1"";9;3;54;25760;4;2;"2020-01-10 13:40:07"
2287;103;""1"";10;5;19;17880;2;1;"2020-01-10 13:40:26"
2288;103;""1"";11;5;16;39840;4;2;"2020-01-10 13:41:08"
2289;103;""1"";12;5;56;9460;1;2;"2020-01-10 13:41:20"
2290;103;""1"";13;5;1;34190;2;2;"2020-01-10 13:41:56"
2291;103;""1"";14;3;35;15180;0;2;"2020-01-10 13:42:13"
2292;103;""1"";15;3;3;29110;0;2;"2020-01-10 13:45:37"
2293;103;""1"";16;5;48;7300;4;2;"2020-01-10 13:45:48"
2294;103;""1"";17;5;45;43130;2;2;"2020-01-10 13:46:33"
2295;103;""1"";18;3;28;102390;4;2;"2020-01-10 13:48:18"
2296;103;""1"";19;3;55;11700;0;2;"2020-01-10 13:48:32"
2297;103;""1"";20;3;32;73620;4;2;"2020-01-10 13:49:49"
2298;103;""1"";21;5;47;28310;2;2;"2020-01-10 13:50:20"
2299;103;""1"";22;3;50;34330;2;2;"2020-01-10 13:50:57"
2300;103;""1"";23;5;10;130810;2;2;"2020-01-10 13:53:11"
2301;112;""1"";1;5;41;439020;0;2;"2020-01-10 14:53:03"
2304;107;""0"";1;3;46;396380;2;2;"2020-01-13 08:28:52"
2305;107;""0"";2;5;7;86640;2;0;"2020-01-13 08:30:25"
2306;107;""0"";3;3;32;544990;0;2;"2020-01-13 08:59:25"
2307;107;""0"";4;5;37;719150;0;2;"2020-01-13 09:11:32"
2308;107;""0"";5;5;59;413860;0;2;"2020-01-13 09:18:38"
2309;107;""0"";6;3;19;502160;0;1;"2020-01-13 09:27:15"
2310;107;""0"";7;5;52;355950;4;2;"2020-01-13 09:33:25"
2311;107;""0"";8;5;4;523440;4;2;"2020-01-13 09:45:57"
2312;107;""0"";9;3;33;85880;2;1;"2020-01-13 09:47:25"
2313;107;""0"";10;5;42;412670;4;2;"2020-01-13 09:54:47"
2314;107;""0"";11;3;44;655900;2;1;"2020-01-13 10:05:55"
2315;107;""0"";12;3;22;294560;2;2;"2020-01-13 10:10:55"
2316;107;""0"";13;5;41;504900;1;2;"2020-01-13 10:24:28"
2317;107;""0"";14;3;53;510540;0;2;"2020-01-13 10:40:05"
2318;107;""0"";15;3;11;548550;0;2;"2020-01-13 10:51:08"
2319;107;""0"";16;5;31;168080;1;2;"2020-01-13 10:54:01"
2320;107;""0"";17;3;56;164690;2;2;"2020-01-13 10:56:51"
2321;107;""0"";18;3;51;157140;0;2;"2020-01-13 10:59:37"
2322;107;""0"";19;3;43;171530;0;2;"2020-01-13 13:11:27"
2323;107;""0"";20;5;26;342600;3;2;"2020-01-13 13:17:27"
2324;107;""0"";21;5;29;46520;0;2;"2020-01-13 13:18:27"
2325;107;""0"";22;5;18;105120;4;2;"2020-01-13 13:20:19"
2326;107;""0"";23;3;34;247960;4;2;"2020-01-13 13:24:37"
2327;107;""0"";24;5;15;231640;2;2;"2020-01-13 13:31:23"
2328;107;""0"";25;3;35;168820;0;2;"2020-01-13 13:34:17"
2329;107;""0"";26;3;10;233950;2;2;"2020-01-13 13:38:18"
2330;107;""0"";27;3;45;120010;2;1;"2020-01-13 13:40:22"
2331;107;""0"";28;5;23;146640;2;0;"2020-01-13 13:42:51"
2332;107;""0"";29;5;60;320870;4;2;"2020-01-13 13:48:32"
2333;107;""0"";30;5;1;317620;0;2;"2020-01-13 13:54:33"
2334;107;""0"";31;5;25;314420;2;2;"2020-01-14 07:19:41"
2335;107;""0"";32;3;9;589280;0;2;"2020-01-14 07:34:58"
2336;107;""0"";33;3;54;202240;4;2;"2020-01-14 07:38:31"
2337;107;""0"";34;5;16;454590;4;2;"2020-01-14 07:46:22"
2338;107;""0"";35;3;2;216460;2;2;"2020-01-14 07:50:02"
2339;107;""0"";36;3;6;192150;2;2;"2020-01-14 07:53:25"
2340;107;""0"";37;5;8;224670;4;2;"2020-01-14 07:57:22"
