AnonId,QKset,Mating,Conclusion,Outcome,Conclusion Category,Conclusion Type,QQ-Norm,QQ-Score,TIRE-03_DIMEN,TIRE-04_QCONT,TIRE-05_QSIZE,TIRE-06_QPATT,TIRE-07_QDIST,TIRE-08_QOVER,TIRE-09_QSUB,TIRE-10_QMAT,TIRE-11_QCLAR,TIRE-12_SUIT,TIRE-13_SUITBASIS,TIRE-13_OTHBASIS,TIRE-14_DESIGN,TIRE-15_SIZE,TIRE-16_MOLD,TIRE-17_WEAR,TIRE-18_DEGWEAR,TIRE-19_WEARDIFF,TIRE-20_RACS,TIRE-21_CONC,TIRE-22_LIMIT,TIRE-22_OTHLIMIT,NumLimitations,TIRE-23_DIFF,TIRE-24_TYPCW,TIRE-25_QTYPE,TIRE-26_QQUAL,TIRE-27_QAREA,TIRE-28_SOFTWARE,TIRE-29_COMM,,,,,,,,,,,,,,,,,,,,,,,,
ABW,QK59,Mated,ID,M-ID,TI,Definitive,0.88,14,A_TWOD,C_GOOD,C_NO,A_YES,B_SOME,B_YES-EASY,C_NO,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,C_UNSURE,A_YES,,,A_YES,A_ID,,,0,B_EASY,B_INFREQ,B_OCCASIONAL,B_OCCASIONAL,B_OCCASIONAL,B_VIEW,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,QK77,Nonmated,NonAssn,N-NonAssn,CN,Probable,0.63,10,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,B_YES-EASY,B_SOMEWHAT,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,A_YES,C_UNSURE,B_NO,B_LESS,C_UNSURE,B_NO,F_INDNON,"A_QQUAL,C_DISTORTION,D_NOISE,F_RECOVERY,N_NOPHYSK,O_NOORIGQ",,6,C_MODERATE,B_INFREQ,C_RARELY,B_OCCASIONAL,B_OCCASIONAL,B_VIEW,,,,,,,,,,,,,,,,,,,,,,,,,
ARL,QK50,Nonmated,Assn,N-Assn,Classification,Classification,0.86,12,B_THREED,C_GOOD,C_NO,B_SOMEWHAT,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,C_UNSURE,,,B_NO,C_ASSOC,,,0,B_EASY,B_INFREQ,B_OCCASIONAL,C_RARELY,B_OCCASIONAL,A_ENHANCE,Mainly would have beneficial to have these studies done with physical copies.,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK05,Mated,Assn,M-Assn,Classification,Classification,0.69,11,A_TWOD,B_MOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,B_SOMEWHAT,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,C_MODERATE,B_INFREQ,C_RARELY,B_OCCASIONAL,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK09,Nonmated,Assn,N-Assn,Classification,Classification,0.75,12,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,A_YES,C_NO,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,B_EASY,B_INFREQ,C_RARELY,B_OCCASIONAL,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK11,Mated,Assn,M-Assn,Classification,Classification,0.57,8,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,L_RACCLARITY",,3,C_MODERATE,C_NO,C_RARELY,B_OCCASIONAL,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK12,Mated,NonAssn,M-NonAssn,IN,Probable,0.81,13,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,A_YES,C_UNSURE,B_NO,A_MORE,C_UNSURE,B_NO,F_INDNON,"D_NOISE,M_TIME",,2,C_MODERATE,C_NO,C_RARELY,B_OCCASIONAL,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK22,Nonmated,Assn,N-Assn,Classification,Classification,0.69,11,A_TWOD,C_GOOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,B_SOMEWHAT,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,B_EASY,C_NO,C_RARELY,C_RARELY,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK23,Nonmated,Assn,N-Assn,Classification,Classification,0.50,7,B_THREED,A_POOR,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,G_QIMAGES,L_RACCLARITY",,4,C_MODERATE,B_INFREQ,C_RARELY,B_OCCASIONAL,A_OFTEN,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK28,Nonmated,Assn,N-Assn,Classification,Classification,0.63,10,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,B_SOMEWHAT,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,C_MODERATE,B_INFREQ,C_RARELY,B_OCCASIONAL,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK35,Nonmated,Assn,N-Assn,Classification,Classification,0.69,11,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,A_YES,A_YES,B_SOMECLEAR,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,B_EASY,C_NO,C_RARELY,B_OCCASIONAL,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK45,Nonmated,Assn,N-Assn,Classification,Classification,0.71,10,B_THREED,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,L_RACCLARITY",,3,C_MODERATE,B_INFREQ,C_RARELY,C_RARELY,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK53,Nonmated,Assn,N-Assn,Classification,Classification,0.69,11,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,C_NO,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,K_RACS",,3,B_EASY,B_INFREQ,C_RARELY,B_OCCASIONAL,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK54,Nonmated,Assn,N-Assn,Classification,Classification,0.56,9,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,B_SOMEWHAT,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,C_DISTORTION,D_NOISE",,3,C_MODERATE,C_NO,C_RARELY,C_RARELY,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK59,Mated,ID,M-ID,TI,Definitive,1.00,16,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,C_UNSURE,A_YES,,,A_YES,A_ID,,,0,B_EASY,B_INFREQ,C_RARELY,C_RARELY,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK62,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,0.43,6,B_THREED,A_POOR,C_NO,B_SOMEWHAT,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,C_UNSURE,,,,,,,D_LIMITED,"A_QQUAL,C_DISTORTION,D_NOISE,G_QIMAGES",,4,C_MODERATE,A_OFTEN,B_OCCASIONAL,A_OFTEN,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
